tax.identity	sample	count	superkingdom	phylum	class	order	family	genus	species
NA	sample_17	3	NA	NA	NA	NA	NA	NA	NA
'Candidatus Kapabacteria' thiocyanatum	sample_17	7	Bacteria	Candidatus Kapabacteria	NA	NA	NA	NA	'Candidatus Kapabacteria' thiocyanatum
'Osedax' symbiont bacterium Rs2_46_30_T18	sample_17	2	Bacteria	NA	NA	NA	NA	NA	'Osedax' symbiont bacterium Rs2_46_30_T18
ANME-1 cluster archaeon ex4572_4	sample_17	1	Archaea	Euryarchaeota	Methanomicrobia	Methanophagales	NA	NA	ANME-1 cluster archaeon ex4572_4
ANME-2 cluster archaeon	sample_17	1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	NA	NA	ANME-2 cluster archaeon
Abiotrophia defectiva	sample_17	9635	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva
Abiotrophia sp. HMSC24B09	sample_17	2487	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia sp. HMSC24B09
Absiella sp. AM09-45	sample_17	99	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM09-45
Absiella sp. AM09-50	sample_17	95	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM09-50
Absiella sp. AM10-20	sample_17	87	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM10-20
Absiella sp. AM22-9	sample_17	114	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM22-9
Absiella sp. AM29-15	sample_17	203	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absiella	Absiella sp. AM29-15
Abyssibacter profundi	sample_17	12	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Abyssibacter	Abyssibacter profundi
Acaryochloris marina	sample_17	4	Bacteria	Cyanobacteria	NA	Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris marina
Acaryochloris thomasi	sample_17	6	Bacteria	Cyanobacteria	NA	Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris thomasi
Acetatifactor muris	sample_17	495	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetatifactor	Acetatifactor muris
Acetitomaculum ruminis	sample_17	688	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetitomaculum	Acetitomaculum ruminis
Acetivibrio clariflavus	sample_17	11892	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio clariflavus
