dummy	order	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_17	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_37	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_57	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_Illumina_minitax_all_NCBI_genomes_BestAln_sample_60	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_1	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_10	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_15	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_20	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_25	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_30	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_35	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_40	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_5	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_50	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_55	CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_CAMISIM_MG_PacBio_minitax_all_NCBI_genomes_BestAln_sample_60	sample_1	sample_10	sample_15	sample_17	sample_20	sample_25	sample_30	sample_35	sample_37	sample_40	sample_5	sample_50	sample_55	sample_57	sample_60
TRUE		13414	19480	4371	12594	9823	9776	12633	8517	9419	5433	7837	7562	4823	143	89	173	136	132	378	128	166	443	26	629	95	569	18	94	990	1168	87	88	51	81	81	34	0	26	16	6
TRUE	Acidaminococcales	902	1018	80	1933	541	1170	2062	592	518	427	405	412	223	488	53	154	241	47	49	49	77	41	633	47	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alteromonadales	726	385	432	505	491	651	630	448	314	122	38492	421	438	0	0	1	0	0	0	3	3016	3552	709	0	0	0	0	0	0	0	0	0	0	0	25	40	5	0	0	0
TRUE	Bacillales	13353	6770	2620	38392	93944	8611	10908	13589	3940	3452	9116	10992	2866	3130	8260	56	40	729	15	139	44	25	141	14	40	24	46	0	12	0	4	0	0	0	0	0	1	0	0	0
TRUE	Bacteroidales	1927170	1816485	5822093	7656762	176462	3172788	1725388	7157510	5006924	665026	3440725	1371096	11301247	759428	17482	312200	170681	707147	495506	66958	688940	342826	1194263	138815	1120143	4037	87	1611	1410	681	4352	3237	382	2171	4611	3070	6903	1496	6824	7221
TRUE	Bdellovibrionales	42	9350	183540	18	10	53	52	28271	19	6	212322	1715	226507	0	1	0	0	2175	0	0	10360	20086	0	179	20438	0	0	0	0	0	22	0	0	15	81	183	0	2	195	155
TRUE	Burkholderiales	3092	1600	4198	1569	7021	22631	19927	4099	1768	49411	6183	875	3122	3	27	2163	1477	25	28	4831	53	416	674	1	65	0	0	15	0	6	0	0	17	0	17	7	4	0	6	23
TRUE	Campylobacterales	562	606	289	928	820	935	471	651	434	15168	757	935	370	15	1	5	0	2	1	1418	4	0	21055	2	1	0	0	0	0	0	0	0	17	0	0	0	299	0	0	0
TRUE	Chitinophagales	443	232	40114	138	14385	5808	17265	442	255	445626	5729	94	491	1	1305	515	1607	0	1	40976	0	518	1718	0	0	0	8	4	0	11	0	0	248	0	0	5	13	0	30	0
TRUE	Christensenellales	174	13259	12	1113	7012	5502	174	167578	6549	68	3217	1099	16206	33	701	558	4	8264	411	1	387	108	2	61	550	2	4	4	0	0	293	10	0	29	3	7	0	0	0	33
TRUE	Desulfovibrionales	657	80580	8288	262	2196	346	1239	2813	737	34205	606325	48465	44606	0	40	1	7	196	26	3395	78040	60585	49433	4855	4459	0	12	4	0	11	180	186	50	176	426	445	283	43	41	117
TRUE	Eggerthellales	6723	6006	5303	146	69723	9991	2137	17851	5001	467	1179	189	3942	3	1152	149	41	271	85	4	157	26	0	1	61	0	359	62	41	11	101	12	0	26	20	11	0	2	33	21
TRUE	Enterobacterales	1730	1208	40441	1807	1830	1230	2465	1551	843	582	2774	1898	5973	21	26	27	25	18	17	16	20	275	6167	369	519	0	0	0	0	0	0	0	0	0	0	0	25	0	24	2
TRUE	Erysipelotrichales	138228	31305	2600	12651	85677	304911	260644	23784	19221	25543	84308	59934	6118	533	8566	33617	25569	2348	2071	2645	3505	8210	508	6149	702	4	56	37	207	208	18	22	17	40	39	86	0	35	3	2
