dummy	class	minitax_all_NCBI_genomes_BestAln_toti_minion_WGS_20230802_invitrogen_I1_bc01_pass	minitax_all_NCBI_genomes_BestAln_toti_minion_WGS_20230802_invitrogen_I2_bc02_pass	minitax_all_NCBI_genomes_BestAln_toti_minion_WGS_20230802_invitrogen_I3_bc03_pass	minitax_all_NCBI_genomes_BestAln_toti_minion_WGS_20230802_invitrogen_I4_bc04_pass	minitax_all_NCBI_genomes_BestAln_toti_minion_WGS_20230802_zymo_Z3_bc05_pass	minitax_all_NCBI_genomes_BestAln_toti_minion_WGS_20230802_zymo_Z4_bc06_pass	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4
TRUE		1930	1131	798	1748	2100	6170	328	305	322	358	529	455	664	349	1221	978	1510	1581	3470	302	3415	31	6054	4252	8	10150	1445	1618	739	1970	1080	6459	272	865	705	469	641	885	1143	868	614	1755	1601	1585	1840	156097	277638	188351	142809	250770	154792	132807	135624	3439	2675	3321	3435	159912	114102	99611	137252	7473	3111	14014	9957	79	19445	9343	6935	8154	3907	131512	4092	276	372	195	532	119	296	377	769	3707	1354	1159	1191
TRUE	Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	1	35	0	26	4	0	14	4	4	17	1	1	22	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	3	3	0	4	5	0	0	0	0	2	3	1	5	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1
TRUE	Acidithiobacillia	1	0	0	0	0	0	1	1	1	1	1	0	2	0	3	0	0	1	0	0	2	0	2	0	0	2	4	7	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	25	13	12	23	20	8	10	1	6	3	11	18	14	15	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Actinomycetes	140	49	45	101	475	557	463	218	424	336	987	340	781	560	463	577	883	830	2581	181	2201	18	5104	2554	4	5340	2219	2694	1041	366	216	2927	73	939	587	616	537	1986	1233	1295	1386	809	1689	1640	1441	26781	53500	36844	21774	120343	43666	43108	48847	1871	1404	2273	4114	51093	59369	48543	31162	200	46	319	210	4	1961	819	815	28	26	398	34	279	124	370	415	487	572	739	2318	565	638	766	401
TRUE	Actinomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	14	26	16	14	42	13	26	12	1	0	0	1	21	21	20	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Alphaproteobacteria	7	1	2	3	14	38	294	142	281	194	438	137	371	193	249	191	354	367	1707	121	10329	44	10428	916	7	44118	729	1550	2104	329	197	7337	246	9	8	3	11	9	8	24	7	16	7	7	62	3543	8628	4786	3384	10281	4877	4351	4094	1727	968	2302	2433	6373	4932	4454	4435	8	1	9	5	0	13	45	9	2	1	17	5	1	2	1	1	4	3	2	2	3	3	1	6
TRUE	Anaerolineae	0	0	0	0	0	0	6	0	3	4	4	1	10	2	5	1	8	3	171	5	599	2	634	87	0	451	62	63	140	59	43	252	2	0	0	0	0	1	2	0	0	1	0	1	0	34	51	40	27	61	24	26	33	12	11	9	5	68	32	35	34	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aquificia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	14	0	12	12	0	10	67	57	29	2	1	34	1	0	2	0	0	0	1	0	0	1	1	0	1	15	38	16	8	20	16	5	10	19	18	26	19	11	7	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Archaeoglobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Ardenticatenia	0	0	0	0	0	0	2	0	2	1	9	1	6	0	3	5	6	3	234	15	358	2	484	139	0	589	91	120	177	9	6	264	1	0	0	0	0	1	0	0	0	1	0	0	0	8	12	4	8	14	7	5	6	4	9	8	9	22	15	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Bacilli	30	13	13	22	23	70	482	195	425	386	522	144	359	247	116	64	141	170	1630	75	3094	15	3219	869	1	3001	890	923	856	318	227	1655	6	547	319	331	348	521	445	403	326	195	244	216	325	8069	14104	9422	7265	12418	8495	6597	6502	3531	3029	3931	4422	9560	8058	7055	6304	231	48	491	245	1	684	292	352	23	36	828	50	3	7	11	15	1	11	9	33	5	16	2	15
TRUE	Bacteroidia	1206	1085	636	1178	564	1168	1709	1426	1724	1439	1306	1745	2585	1208	3136	1689	3511	3108	6717	429	6935	17	4738	10284	7	5576	46240	68277	50232	5483	1271	17515	42	3183	3309	2466	2407	1917	5699	3793	2127	6266	4848	5391	5673	117082	345339	149194	103047	91168	248864	105792	65520	644385	606901	803876	566625	600372	208548	258768	116974	1285	502	5178	3929	12	8839	4034	2549	3975	620	42162	733	193	408	218	587	67	457	530	1070	10153	2226	3086	2061
TRUE	Balneolia	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	15	1	22	4	0	8	16	18	17	7	7	17	0	0	0	0	0	0	0	0	0	0	0	0	1	10	27	16	7	14	16	14	13	20	14	8	12	23	10	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Bdellovibrionia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	20	5	4	13	4	2	7	5	1	6	6	5	6	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Betaproteobacteria	4	3	5	2	7	24	441	488	498	386	376	344	582	195	1168	572	1098	913	519	64	719	3	509	845	2	588	17261	12498	3183	932	302	1378	5	203	240	130	160	171	235	188	105	544	383	404	422	2370	5600	3322	2129	6494	3377	2684	2738	2405	2063	2427	2858	5092	3258	3195	2536	83	63	402	186	2	503	220	90	308	78	4132	83	11	47	11	42	3	15	26	41	911	202	262	161
TRUE	Bigyra	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	4	7	3	5	2	0	1	3	69	83	146	94	2	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Blastocatellia	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	3	1	0	1	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	37	27	7	82	30	25	175	338	333	17	18	28	13	9	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
