dummy	family	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4
TRUE		422	408	424	446	619	545	787	409	1368	1072	1691	1767	4648	376	4718	33	8280	5076	8	11530	2244	2329	1402	2126	1175	7433	279	904	734	487	666	900	1165	893	623	1803	1651	1624	1897	159313	283733	191973	145697	257036	158910	135995	138760	5329	3952	4690	5468	165963	118943	104353	140893	7833	3328	14836	10465	87	20662	9942	7178	8592	4112	139055	4278	298	453	217	597	129	331	424	845	4703	1608	1466	1392
TRUE	Acaryochloridaceae	0	0	0	0	0	0	0	0	0	0	0	0	21	2	25	0	44	14	0	14	76	50	10	3	2	43	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	1	0	0	5	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacteraceae	0	0	0	0	0	0	0	0	1	0	2	7	3	1	8	0	20	7	0	9	10	4	2	0	3	6	0	0	1	1	3	4	2	3	1	1	0	1	2	122	258	188	114	356	185	195	158	84	68	61	92	263	182	188	196	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
TRUE	Acetomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	1	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	4	1	1	0	1	1	2	2	1	1	4	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acholeplasmataceae	25	4	18	11	19	3	11	7	1	1	2	3	74	2	96	0	100	37	0	222	8	8	6	3	0	19	0	3	0	0	2	0	1	0	1	0	0	1	0	20	32	29	20	11	14	8	13	20	9	12	16	6	13	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidaminobacteraceae	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	1	2	6	13	3	4	2	3	0	3	6	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidaminococcaceae	5	0	1	0	1	2	1	0	3	1	2	1	8	0	7	0	8	13	0	30	14	6	7	1	4	7	0	2	1	0	0	1	2	1	0	0	1	1	1	282	505	334	229	477	340	253	228	70	56	59	113	536	446	428	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidiferrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	49	32	17	66	18	21	20	0	1	1	4	37	21	26	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidimicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	5	6	1	35	0	26	4	0	14	4	4	17	1	1	22	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	3	3	0	4	5	0	0	0	0	2	3	1	5	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1
TRUE	Acidithiobacillaceae	1	1	1	1	1	0	2	0	3	0	0	1	0	0	2	0	2	0	0	2	4	7	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	25	13	12	23	20	8	10	1	6	3	11	18	14	15	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	7	5	0	2	2	7	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	28	64	35	36	64	18	32	30	3	8	5	8	47	47	41	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidothermaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TRUE	Actinomycetaceae	8	3	4	4	6	4	7	6	3	0	5	7	118	16	325	0	389	90	0	430	82	94	82	23	9	211	1	5	3	4	4	3	4	2	4	2	3	4	1	459	954	716	459	1433	499	458	546	88	87	80	92	807	603	471	371	0	0	0	1	0	2	2	1	0	1	4	0	0	0	0	1	0	2	1	1	0	0	1	0
TRUE	Actinopolysporaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	55	23	16	58	30	20	24	2	2	1	2	28	25	21	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acutalibacteraceae	0	0	0	0	2	0	0	0	1	1	1	0	5	0	3	0	3	5	0	4	5	6	4	1	0	6	0	2	0	0	0	0	0	1	0	0	0	0	0	67	154	64	65	143	134	89	72	52	20	40	83	195	158	185	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aerococcaceae	4	4	2	2	1	1	4	3	0	0	3	3	25	0	84	0	71	14	0	59	14	10	17	3	1	9	0	11	7	3	5	6	7	5	8	0	0	3	1	93	179	118	96	126	84	71	69	43	38	46	41	62	59	55	53	3	0	8	5	0	2	5	5	2	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Aeromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	3	2	0	13	6	3	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	61	135	82	64	150	93	73	82	38	34	31	53	148	104	106	39	6	1	10	9	0	8	8	8	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0
