dummy	genus	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4
TRUE		1634	1060	1537	1493	2339	1533	2405	1700	1884	1666	2448	2898	14455	1162	15724	162	28366	13311	25	39272	4505	5619	2153	2980	2192	11994	509	3244	2278	1785	2361	3506	3415	2787	2362	2854	3271	2864	4046	311617	539270	366721	279812	546810	309897	263656	273887	8822	5964	8184	9099	310026	295857	261951	281244	60118	16947	108392	70720	676	100422	53623	55239	12461	9282	238120	10010	2093	1921	1365	3682	820	1340	1983	5535	6014	3051	2234	2521
TRUE	Abiotrophia	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	1	1	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	4	4	4	4	9	9	3	2	1	3	3	5	9	5	4	2	2	0	4	2	0	1	5	2	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Abyssibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	8	0	4	2	0	0	0	1	8	3	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acaryochloris	0	0	0	0	0	0	0	0	0	0	0	0	21	2	25	0	44	14	0	14	76	50	10	3	2	43	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	1	0	0	5	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetatifactor	3	0	0	2	0	2	1	0	0	0	0	1	24	1	16	0	29	18	0	19	4	10	3	1	2	5	0	0	0	1	0	1	1	0	0	1	1	0	1	287	620	407	301	546	397	335	280	41	33	28	32	1009	724	636	455	15	2	16	14	0	51	12	10	7	3	248	5	0	0	0	0	0	0	0	0	0	0	0	1
TRUE	Acetitomaculum	1	1	2	1	3	0	1	1	1	1	0	0	77	4	35	0	111	51	0	61	5	5	0	0	4	19	1	5	1	3	2	5	6	1	1	4	7	1	7	141	307	206	136	222	162	134	140	19	18	45	21	152	131	101	121	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetivibrio	2	1	1	1	1	1	1	0	5	1	3	4	26	1	38	2	37	13	0	113	31	15	15	7	5	25	1	2	1	0	1	0	3	1	1	2	6	1	10	597	1076	783	559	997	668	491	594	38	24	31	49	871	723	623	575	3	3	11	6	0	4	1	4	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	1
TRUE	Acetoanaerobium	0	0	1	0	0	0	0	0	1	1	0	0	158	11	94	1	225	180	0	63	34	33	6	13	6	11	0	1	0	0	2	1	2	2	0	0	0	0	0	44	101	57	57	66	66	37	41	30	29	35	20	68	43	40	40	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	8	27	22	10	17	17	14	10	32	27	22	26	21	13	21	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetobacterium	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	0	6	1	0	7	1	4	0	1	0	3	0	1	1	0	0	0	1	0	0	0	0	0	1	100	188	134	109	180	103	112	104	14	11	13	17	130	125	127	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetohalobium	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	3	7	5	1	3	7	1	1	0	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	1	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	4	1	1	0	1	1	2	2	1	1	4	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acetonema	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	2	1	2	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	5	10	13	5	17	20	4	6	5	2	6	15	19	16	26	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acholeplasma	25	4	17	11	18	3	10	7	1	1	2	2	68	2	88	0	93	37	0	206	6	5	5	1	0	19	0	3	0	0	1	0	1	0	1	0	0	1	0	4	5	9	6	4	6	2	3	1	1	2	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4	2	0	0	5	6	0	2	0	0	0	0	0	1	0	0	1	0	0	2	2	1	2	104	249	143	92	325	138	136	139	65	51	57	76	212	137	157	110	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidaminobacter	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	1	2	6	13	3	4	2	3	0	3	6	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Acidaminococcus	3	0	1	0	0	1	1	0	3	1	2	0	2	0	2	0	4	8	0	26	9	3	3	1	4	3	0	1	1	0	0	0	2	0	0	0	0	0	0	73	114	74	59	125	97	60	48	25	10	15	37	126	80	106	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
