dummy	species	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4
TRUE	[Acidovorax] ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Arcobacter] porcinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	9	6	2	7	4	4	5	6	7	8	0	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Brevibacterium] flavum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	4	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Butyribacterium] methylotrophicum	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	48	93	51	54	92	55	48	45	12	5	11	8	121	84	71	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] aminophilum	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	87	191	127	85	191	129	113	81	17	8	13	26	187	147	138	100	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] cellulosi	0	0	0	0	0	0	0	0	1	0	0	0	5	1	1	0	7	4	0	4	13	10	3	1	1	10	0	0	0	0	0	0	0	0	1	0	1	0	0	17	33	13	16	50	10	11	14	0	2	4	7	14	15	14	8	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] cocleatum	5	1	5	3	5	3	4	3	1	1	3	4	25	0	63	0	63	15	0	35	4	6	3	1	2	40	1	107	38	54	52	60	62	52	44	61	36	23	77	448	609	576	356	408	244	185	203	26	22	29	23	206	121	135	128	28	2	48	22	1	30	9	11	2	0	42	4	0	1	1	2	0	0	0	0	0	0	1	1
TRUE	[Clostridium] fimetarium	0	0	0	0	5	1	3	0	0	0	2	0	76	3	37	1	74	31	0	332	8	5	3	7	7	12	2	4	5	4	2	3	6	6	5	9	17	4	17	117	189	146	124	167	106	120	101	23	14	16	16	134	119	109	110	0	0	1	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] hylemonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	331	195	141	263	187	129	125	5	11	6	13	376	273	260	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] innocuum	18	11	11	9	32	12	27	24	18	11	16	15	59	2	47	0	131	69	0	155	149	220	78	13	3	28	0	9	7	4	6	16	15	16	10	4	8	7	11	73	143	81	81	138	73	77	88	30	16	32	51	68	45	40	42	1	0	0	0	0	1	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] leptum	0	1	1	1	0	1	4	6	7	0	2	2	14	2	10	0	17	23	0	8	31	16	1	1	2	9	0	0	1	0	1	4	1	0	0	1	1	0	3	97	146	86	63	144	127	80	62	19	12	23	47	161	147	122	103	4	1	6	7	0	18	3	3	0	0	43	2	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] methylpentosum	0	0	1	0	2	0	0	0	0	1	0	1	44	1	32	0	135	83	0	303	52	46	8	5	4	43	0	10	9	5	7	41	40	55	35	12	12	14	21	94	165	93	81	211	181	108	105	73	33	55	166	351	263	305	174	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] paradoxum	8	9	12	13	13	9	16	9	6	3	5	7	23	0	21	0	34	24	0	7	11	4	1	5	1	5	0	3	2	2	0	1	5	2	1	1	1	1	2	47	76	63	45	56	55	30	26	34	48	39	15	16	32	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] polysaccharolyticum	5	0	4	1	3	3	5	3	1	1	0	0	39	5	41	0	50	27	1	114	7	4	1	13	13	2	0	1	0	1	0	1	0	0	2	1	1	1	0	214	373	234	176	327	197	173	210	19	16	19	19	234	132	137	150	121	36	225	140	10	361	214	222	17	8	139	13	1	0	0	2	0	1	2	1	0	1	0	0
TRUE	[Clostridium] populeti	0	0	1	1	3	0	1	0	0	1	0	0	3	0	110	4	105	2	0	891	1	1	1	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	220	384	244	203	304	222	189	191	16	11	15	16	229	145	137	135	87	14	144	86	2	256	135	134	7	3	85	12	1	0	0	1	1	2	1	6	1	1	0	3
TRUE	[Clostridium] scindens	1	0	0	0	1	1	1	1	0	0	0	1	12	0	7	0	12	11	0	13	1	2	0	1	1	1	0	103	56	36	61	103	63	58	42	43	76	83	103	296	487	324	238	509	296	233	228	18	11	13	7	441	387	322	279	18	2	25	26	0	27	17	10	0	1	13	2	0	1	0	0	0	0	0	0	0	0	0	0
TRUE	[Clostridium] spiroforme	177	76	178	117	146	66	114	84	108	22	84	166	1690	59	1713	7	1965	1108	0	1172	71	107	61	240	55	443	2	426	219	252	207	380	341	245	220	282	149	189	445	9203	13282	11895	7562	7935	5288	3908	4479	259	102	235	217	3076	1574	1810	2566	950	198	1983	874	6	1582	527	760	135	53	2536	141	220	156	128	330	63	82	98	348	332	88	48	206
