dummy	family	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4
TRUE		422	408	424	446	619	545	787	409	1368	1072	1691	1767	4648	376	4718	33	8280	5076	8	11530	2244	2329	1402	2126	1175	7433	279	904	734	487	666	900	1165	893	623	1803	1651	1624	1897	159313	283733	191973	145697	257036	158910	135995	138760	5329	3952	4690	5468	165963	118943	104353	140893	7833	3328	14836	10465	87	20662	9942	7178	8592	4112	139055	4278	298	453	217	597	129	331	424	845	4703	1608	1466	1392
TRUE	Atopobiaceae	325	115	272	116	465	133	310	205	252	140	322	238	446	19	623	2	1093	414	0	1130	72	209	125	210	105	272	6	1	2	1	0	0	0	2	1	1	2	2	0	4483	9677	7031	4183	12479	3991	4364	5263	122	52	71	179	7072	4905	4312	2578	602	218	5567	4492	6	907	980	2211	319	86	12229	199	1367	956	1524	2357	806	740	1185	4925	4283	1675	2089	1613
TRUE	Bacillaceae	59	17	51	39	60	10	42	21	15	14	16	24	699	33	897	5	975	323	1	1004	289	319	251	92	74	504	4	478	284	285	313	441	381	349	280	161	214	175	272	2656	4377	3083	2383	3853	2641	2089	2036	1092	868	1051	1082	2730	2290	2013	1776	21	4	43	21	0	89	31	31	1	10	59	4	0	1	2	3	0	0	0	0	0	2	0	0
TRUE	Bacteroidaceae	1523	1269	1577	1189	1107	1538	2334	989	3077	1628	3445	3002	4477	239	5850	12	3473	8691	6	4635	42358	63832	41164	5288	1203	15341	35	3176	3297	2461	2402	1912	5679	3781	2118	6259	4837	5380	5665	114571	338552	145966	100868	88591	244742	103651	64093	630355	594163	788788	554559	590030	204747	254205	114804	1118	465	4926	3758	11	8598	3920	2428	3961	614	41959	727	193	408	218	587	67	455	530	1070	10151	2226	3086	2061
TRUE	Bifidobacteriaceae	367	166	359	256	849	275	623	477	391	535	810	676	358	23	416	10	664	321	0	2963	1043	1158	535	33	19	1499	58	903	563	598	514	1944	1191	1205	1353	779	1659	1613	1331	19150	35914	26221	14626	97294	33267	30988	39662	225	165	183	294	38698	50191	39991	20920	1	0	2	2	1	4	2	1	0	0	12	1	267	118	364	405	476	531	696	2197	546	619	761	380
TRUE	Burkholderiaceae	313	267	285	235	278	199	362	131	600	290	541	444	53	2	85	3	67	96	0	166	908	456	69	157	52	25	0	35	78	21	37	15	46	37	13	280	164	180	164	630	1630	915	628	1985	1332	684	798	546	445	590	719	1258	822	855	620	3	1	16	6	0	11	6	2	8	4	87	2	0	0	0	0	0	0	0	0	3	0	0	1
TRUE	Clostridiaceae	1624	612	1364	1134	1934	1059	2082	1283	832	910	856	1361	52038	3760	24635	189	68685	53533	65	21897	3044	2736	683	2767	2320	4287	164	3231	1873	1709	2125	2782	3219	2661	2092	952	1633	828	1888	22989	43275	27415	20605	48683	40117	26482	24325	7151	5117	8623	7160	46304	54521	36542	29693	124040	27739	184843	139060	934	173219	101246	78066	5645	2726	105371	3730	10083	6915	5824	16677	2257	4832	7259	18343	4402	1790	1609	2124
TRUE	Coprobacillaceae	3473	1886	2219	2813	3491	1460	3048	2104	871	431	1545	1538	13554	482	7764	32	17813	7928	5	7829	2426	1774	689	719	220	2398	18	4235	2250	1694	2482	3605	2713	2580	1978	1034	669	1323	1670	88705	123188	66958	77665	90905	43583	38053	37284	9932	3667	4275	12186	18906	11040	19500	12638	7501	1638	8591	7768	61	8756	4111	4845	384	160	15155	331	2068	1473	927	3686	512	586	1059	2843	1154	369	531	672
TRUE	Eggerthellaceae	1624	1181	1811	1447	2618	1135	2175	1879	1437	1495	2325	2466	16781	1070	8021	27	29678	12700	15	9406	1870	9064	1810	2798	1768	3358	42	45	27	42	25	47	38	41	39	43	54	53	39	3244	7037	4859	3090	9518	3225	3226	3918	72	52	56	130	5306	3542	3168	1954	598	200	5290	4215	6	878	886	1967	298	78	11104	178	68	52	47	108	80	69	103	258	170	81	82	49
TRUE	Erysipelotrichaceae	1461	950	1333	1484	1522	774	1302	1133	477	340	609	808	5290	148	4426	18	7263	3050	1	10796	1871	3335	1298	338	206	1497	22	1352	792	803	912	1230	951	723	706	463	475	541	746	7241	11870	8639	6789	10020	5781	4843	5219	2441	1137	3007	3239	5021	3601	3910	2900	891	200	1527	961	6	1213	562	700	59	34	2380	44	356	237	208	600	89	119	200	566	207	68	62	87
TRUE	Eubacteriaceae	248	132	202	187	294	182	299	207	118	100	166	156	717	51	576	4	776	449	1	961	370	558	212	99	94	412	4	41	20	18	26	31	39	23	21	18	40	28	50	9193	14699	9786	8347	12890	9110	7061	7028	1069	719	1263	1276	9447	11175	7853	8421	99	17	106	92	0	136	72	76	8	13	294	9	1	0	0	6	0	0	0	0	2	2	1	0
TRUE	Fusobacteriaceae	1216	1243	1481	1232	1148	1173	2184	803	2679	1845	3459	2850	4119	414	5579	12	4859	5421	0	5689	78829	78837	22434	3223	2592	15728	69	3210	3587	2804	2629	2648	4926	3983	2017	5830	6644	6363	6277	10895	37176	18829	11897	11457	16804	11552	6443	53056	46774	50111	28905	18033	16396	21302	5924	1336	904	12997	8010	9	6507	4353	3628	3778	1060	115725	1933	116	326	212	472	41	193	250	480	3195	1352	1908	912
TRUE	Lachnospiraceae	9243	5736	7890	8260	10507	6333	11159	7653	5521	6156	7930	12776	84392	7628	71599	835	135478	68299	105	165586	5564	5115	1616	10100	13793	37901	2394	9080	5926	5040	6408	9523	8850	7479	6224	4273	6970	5244	10039	432087	746155	495260	378439	791484	420449	355072	368849	12780	6955	12796	13950	572736	620179	552563	478436	217484	58613	379205	247893	2517	358651	199714	189766	12747	21397	358303	26245	8231	7027	5591	13732	3405	5538	8191	21363	5552	8313	3473	7216
TRUE	Lysobacteraceae	918	1240	556	1387	1018	1370	998	1470	123	250	251	633	16	1	10	0	20	12	0	11	13	30	9	0	2	14	1	1	2	0	3	1	1	2	1	1	1	0	3	348	923	510	317	1165	538	444	457	137	86	163	281	638	485	431	381	0	0	2	0	0	0	2	0	0	0	7	3	0	0	0	0	0	0	0	0	1	0	0	1
