dummy	genus	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4
TRUE		1634	1060	1537	1493	2339	1533	2405	1700	1884	1666	2448	2898	14455	1162	15724	162	28366	13311	25	39272	4505	5619	2153	2980	2192	11994	509	3244	2278	1785	2361	3506	3415	2787	2362	2854	3271	2864	4046	311617	539270	366721	279812	546810	309897	263656	273887	8822	5964	8184	9099	310026	295857	261951	281244	60118	16947	108392	70720	676	100422	53623	55239	12461	9282	238120	10010	2093	1921	1365	3682	820	1340	1983	5535	6014	3051	2234	2521
TRUE	Bacteroides	663	674	767	584	434	663	1008	405	1419	800	1759	1565	1768	81	1592	4	1018	2878	2	1681	13976	25898	8581	1627	323	3784	19	720	878	557	550	367	1090	749	422	1664	1184	1311	1427	43942	127832	55651	38180	33611	91472	39057	23746	252171	235095	312671	220577	224956	76133	95426	43306	161	78	614	417	0	814	410	219	502	90	5661	117	11	33	13	46	1	31	20	58	957	184	322	197
TRUE	Bifidobacterium	361	165	357	254	844	273	621	475	391	531	807	664	329	22	414	10	655	305	0	2960	1038	1146	535	32	18	1495	58	903	562	597	512	1943	1188	1203	1353	779	1658	1611	1330	19046	35686	26066	14523	97028	33123	30886	39551	195	137	139	253	38521	50055	39867	20855	0	0	2	2	1	3	2	1	0	0	12	1	267	118	364	405	476	531	696	2197	545	619	761	380
TRUE	Blautia	4456	2890	3873	4317	4753	3166	5419	3792	2185	2230	2992	5901	38467	3279	24044	200	49693	31851	53	50789	729	586	80	3156	4369	8020	355	3804	2509	2120	2684	3882	4066	3415	2660	1584	2476	2003	4221	64133	109763	75280	56588	123186	69621	59924	60053	910	493	789	1122	70937	98795	88759	87793	121206	32307	209101	137417	1368	210557	116342	103663	4968	9344	138434	13598	4490	3843	3099	7457	1839	3295	4716	11714	2122	3631	1263	3823
TRUE	Catenibacterium	3093	1737	1848	2540	3176	1310	2803	1918	681	359	1388	1213	11403	412	5590	22	15231	6535	4	5533	2329	1606	597	449	148	1818	12	3285	1797	1209	1971	2868	2095	2087	1556	608	425	1039	1042	73757	101570	48720	65159	77310	35213	31635	30196	9130	3230	3612	11333	13164	7452	15738	8411	6031	1336	5682	6342	52	6609	3337	3756	207	87	11389	155	1664	1185	674	3049	413	468	885	2304	656	216	441	369
TRUE	Chryseobacterium	0	0	0	0	0	0	0	1	0	1	1	0	759	49	3224	7	3722	552	0	4174	2938	7152	4696	162	92	3317	31	5118	3777	3536	3670	6898	5362	4585	3698	4943	5556	5609	5719	304	592	408	298	601	350	283	278	233	189	207	255	418	304	310	204	5	1	8	3	1	4	1	4	1	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0
TRUE	Clostridium	1517	562	1251	1015	1721	922	1860	1089	741	840	775	1155	51827	3736	24405	188	68354	53353	65	21577	2964	2672	665	2682	2253	4108	159	3179	1834	1671	2066	2747	3156	2601	2051	933	1601	813	1854	20750	38957	24835	18554	44743	37223	24339	22243	6407	4698	7989	6137	42481	51367	33532	27315	122166	27341	181201	137087	895	167718	98392	74803	5439	2619	103579	3488	9940	6821	5714	16440	2148	4647	7027	17505	4169	1708	1571	1969
TRUE	Coprococcus	698	410	548	550	922	497	992	500	133	153	172	248	6229	590	10086	105	15141	5531	4	19068	249	226	108	301	352	2886	135	661	409	370	478	729	678	578	426	97	162	127	162	34551	57069	37616	30888	66220	37266	32320	30026	791	392	802	926	13301	14044	11517	10486	15016	3880	24574	18076	188	25381	14710	12508	579	410	12959	480	554	447	330	923	201	362	620	1256	236	142	123	115
TRUE	Faecalibacterium	990	732	723	875	1183	1549	1843	1120	1812	2150	4096	3787	4702	386	2613	51	6221	10037	11	12591	27905	18655	3894	2793	3044	11765	262	787	508	353	578	718	1233	884	590	1207	1504	1904	1931	13490	26718	10182	11142	31753	36481	19151	15791	20533	7370	16720	42579	39731	40245	48634	25845	5653	1909	8334	8425	32	20689	9138	5103	4059	2830	141214	3412	285	257	152	494	40	362	263	708	2340	1185	1772	1212
TRUE	Fusobacterium	1207	1238	1474	1223	1145	1168	2175	800	2655	1838	3438	2836	3783	379	4615	12	4325	5189	0	5262	71629	66445	16741	3177	2561	11601	68	3186	3569	2791	2614	2636	4895	3953	2004	5767	6615	6327	6244	10121	34715	17415	11058	10730	15756	10778	5984	48653	42914	46359	26414	16694	15361	19852	5551	1336	904	12996	8008	9	6507	4353	3628	3778	1060	115718	1933	116	326	212	472	41	193	250	480	3195	1351	1908	912
TRUE	Loktanella	203	94	205	119	335	89	263	133	193	131	252	205	930	65	9058	41	8625	381	0	42181	212	763	1638	160	89	6528	238	0	0	0	0	0	0	0	0	0	0	0	0	9	27	14	8	35	12	13	11	2	1	4	3	27	19	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Mediterraneibacter	2006	1301	1746	1687	2272	1176	2154	1668	2255	2821	3418	4957	19294	2366	17636	284	35476	15015	17	51488	1501	1397	432	4554	6795	18265	1434	907	652	525	686	977	797	666	596	824	1366	1040	1735	131313	237118	152289	112134	239389	115639	95876	106372	4052	2066	4192	3977	286611	283122	250271	199098	26481	8175	48182	29258	346	38230	22709	23217	2802	6003	99310	5988	1316	1213	978	2184	652	834	1253	3569	1706	2967	1252	2059
TRUE	Megamonas	33	57	39	20	62	98	110	47	57	110	53	50	179	39	392	0	410	793	0	472	4246	5122	2422	111	208	304	3	77	228	88	76	151	447	306	163	211	490	142	204	3240	18733	5894	3073	6636	13651	6742	5164	56726	49639	88232	36918	4751	9476	3083	1607	285	577	1744	599	7	5482	2279	1390	508	525	10004	159	14	77	25	34	11	70	94	168	234	214	80	52
TRUE	Olsenella	304	110	257	112	443	127	294	197	245	133	312	231	372	19	492	2	877	372	0	971	54	161	80	188	98	192	5	0	0	1	0	0	0	0	0	0	0	0	0	4283	9278	6699	3964	11953	3811	4179	5036	114	50	67	169	6709	4676	4092	2451	601	218	5563	4483	6	907	980	2207	319	86	12217	199	1367	956	1524	2357	806	740	1185	4925	4283	1675	2089	1613
