NMDS1	NMDS2	host	platform	Vregion	workflow	method	db	DNA_isolation_method	sample_nr	sample	sample_name	bamfile	project	mapq.filt	sample_ID	group
-0.427168426582536	-0.613268521195122	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	I	1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	I1				I1_Illumina	V1_V2_Illumina
-0.407925725211136	-0.535097181295297	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	I	2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	I2				I2_Illumina	V1_V2_Illumina
-0.414408021534027	-0.570732887688724	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	I	3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	I3				I3_Illumina	V1_V2_Illumina
-0.469599025413214	-0.579054041667348	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	I	4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	I4				I4_Illumina	V1_V2_Illumina
-0.437863991083632	-0.591289303172893	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	MN	1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	MN1				MN1_Illumina	V1_V2_Illumina
-0.284452732592638	-0.546672304201229	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	MN	2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	MN2				MN2_Illumina	V1_V2_Illumina
-0.332219661573464	-0.578077861374694	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	MN	3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	MN3				MN3_Illumina	V1_V2_Illumina
-0.393692332589479	-0.520291471758268	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	MN	4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	MN4				MN4_Illumina	V1_V2_Illumina
0.0385752629272016	-0.388176404686913	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	Z	1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Z1				Z1_Illumina	V1_V2_Illumina
-0.0726931878133061	-0.434619868142505	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	Z	2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Z2				Z2_Illumina	V1_V2_Illumina
0.0102753766605802	-0.450063716761051	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	Z	3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Z3				Z3_Illumina	V1_V2_Illumina
-0.190180111781	-0.373536206673616	Toti	Illumina	V1_V2	minitax	BestAln	all_NCBI_genomes	Z	4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Z4				Z4_Illumina	V1_V2_Illumina
-0.708968245443782	-0.483535493253935	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	I	1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	I1				I1_Illumina	V1_V3_Illumina
-0.693348117390366	-0.443368247607502	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	I	2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	I2				I2_Illumina	V1_V3_Illumina
-0.105095598304411	-0.598802966026964	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	I	3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	I3				I3_Illumina	V1_V3_Illumina
-0.244664201076168	-0.715760480349928	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	I	4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	I4				I4_Illumina	V1_V3_Illumina
-0.625260952611826	-0.568601055770019	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	MN	1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	MN1				MN1_Illumina	V1_V3_Illumina
-0.577653479835809	-0.493408668103908	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	MN	2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	MN2				MN2_Illumina	V1_V3_Illumina
-0.670951859322581	-0.375693541048201	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	MN	3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	MN3				MN3_Illumina	V1_V3_Illumina
-0.00605907428624726	-0.632195708771502	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	MN	4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	MN4				MN4_Illumina	V1_V3_Illumina
0.99417397954077	-0.653870782854179	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	Q	1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Q1				Q1_Illumina	V1_V3_Illumina
1.00305648819558	-0.494748431686713	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	Q	2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Q2				Q2_Illumina	V1_V3_Illumina
1.29059496036199	-0.256915844314013	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	Q	3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Q3				Q3_Illumina	V1_V3_Illumina
0.130137341346735	-0.445059637497541	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	Z	1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Z1				Z1_Illumina	V1_V3_Illumina
-0.153200463528435	-0.501337760052643	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	Z	2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Z2				Z2_Illumina	V1_V3_Illumina
0.439684495365639	-0.32461987275283	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	Z	3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Z3				Z3_Illumina	V1_V3_Illumina
0.137209101226159	-1.01403651839046	Toti	Illumina	V1_V3	minitax	BestAln	all_NCBI_genomes	Z	4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Z4				Z4_Illumina	V1_V3_Illumina
0.540359368094422	0.769470745704189	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	I	1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	I1				I1_Illumina	V3_V4_Illumina
0.593437747720179	0.683500531808739	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	I	2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	I2				I2_Illumina	V3_V4_Illumina
0.597554978669832	0.713636216676097	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	I	3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	I3				I3_Illumina	V3_V4_Illumina
0.556237477708504	0.742936086394154	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	I	4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	I4				I4_Illumina	V3_V4_Illumina
0.47505168712074	0.835198077597537	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	MN	1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	MN1				MN1_Illumina	V3_V4_Illumina
0.624457568937304	0.60646916877498	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	MN	2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	MN2				MN2_Illumina	V3_V4_Illumina
0.594914418254028	0.670685204635728	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	MN	3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	MN3				MN3_Illumina	V3_V4_Illumina
0.527414683843274	0.731717851489563	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	MN	4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	MN4				MN4_Illumina	V3_V4_Illumina
0.821053468041526	0.238478354500264	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	Z	1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Z1				Z1_Illumina	V3_V4_Illumina
0.726508265946748	0.23039703258573	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	Z	2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Z2				Z2_Illumina	V3_V4_Illumina
0.77100527444499	0.228350391562507	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	Z	3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Z3				Z3_Illumina	V3_V4_Illumina
0.613170729817113	0.250023785589575	Toti	Illumina	V3_V4	minitax	BestAln	all_NCBI_genomes	Z	4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Z4				Z4_Illumina	V3_V4_Illumina
0.116047189452514	0.59876575254945	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	I	1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	I1				I1_Illumina	WGS_Illumina
0.170126284857693	0.461022784960943	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	I	2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	I2				I2_Illumina	WGS_Illumina
0.135857152865826	0.581496090422487	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	I	3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	I3				I3_Illumina	WGS_Illumina
0.12000653400766	0.613868208702679	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	I	4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	I4				I4_Illumina	WGS_Illumina
-0.00400877151390297	0.563784953242856	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	MN	1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	MN1				MN1_Illumina	WGS_Illumina
0.245683701456554	0.378596006339597	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	MN	2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	MN2				MN2_Illumina	WGS_Illumina
0.135470454759728	0.489186845499583	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	MN	3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	MN3				MN3_Illumina	WGS_Illumina
0.0558333200161207	0.524199485575485	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	MN	4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	MN4				MN4_Illumina	WGS_Illumina
1.37919747018826	-0.39930870539678	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	Q	1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Q1				Q1_Illumina	WGS_Illumina
1.54167810604306	-0.347718173554424	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	Q	2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Q2				Q2_Illumina	WGS_Illumina
1.48234665753645	-0.356955544238158	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	Q	3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Q3				Q3_Illumina	WGS_Illumina
1.28919118363039	-0.472609589519461	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	Q	4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Q4				Q4_Illumina	WGS_Illumina
0.426623516783097	-0.103777600493385	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	Z	1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Z1				Z1_Illumina	WGS_Illumina
0.267978140482307	-0.0302642857051699	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	Z	2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Z2				Z2_Illumina	WGS_Illumina
0.328755110630749	-0.0712277975636649	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	Z	3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Z3				Z3_Illumina	WGS_Illumina
0.205836858656775	-0.00300344024223914	Toti	Illumina	WGS	minitax	BestAln	all_NCBI_genomes	Z	4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Z4				Z4_Illumina	WGS_Illumina
-0.588226442261841	0.56383450799922	Toti	ONT	V1_V9	minitax	BestAln	all_NCBI_genomes	I	1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	I1				I1_ONT	V1_V9_ONT
-0.560342654898047	0.476190446040073	Toti	ONT	V1_V9	minitax	BestAln	all_NCBI_genomes	I	2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	I2				I2_ONT	V1_V9_ONT
-0.553004049819619	0.470134936829097	Toti	ONT	V1_V9	minitax	BestAln	all_NCBI_genomes	I	3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	I3				I3_ONT	V1_V9_ONT
-0.537963477418987	0.481237492045822	Toti	ONT	V1_V9	minitax	BestAln	all_NCBI_genomes	I	4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	I4				I4_ONT	V1_V9_ONT
-0.601976168823798	0.484813286918978	Toti	ONT	V1_V9	minitax	BestAln	all_NCBI_genomes	MN	1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	MN1				MN1_ONT	V1_V9_ONT
-0.497576165858248	0.445891884653017	Toti	ONT	V1_V9	minitax	BestAln	all_NCBI_genomes	MN	2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	MN2				MN2_ONT	V1_V9_ONT
-0.521760572000458	0.458642406176399	Toti	ONT	V1_V9	minitax	BestAln	all_NCBI_genomes	MN	3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	MN3				MN3_ONT	V1_V9_ONT
-0.552065594012596	0.448187091438912	Toti	ONT	V1_V9	minitax	BestAln	all_NCBI_genomes	MN	4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	MN4				MN4_ONT	V1_V9_ONT
