sample	DNA_isolation_method	sample_name	GS_name	sample_nr	db	Vregion	platform	workflow	method	project	bamfile	mapq.filt	sequencing_date	group	GS_version	rank	R2
I_V1_V2_illumina_EMU_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	phylum	0.999071777143623
I_V1_V2_illumina_EMU_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	phylum	0.996682529325121
I_V1_V2_illumina_EMU_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	phylum	0.981983408435802
MN_V1_V2_illumina_EMU_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	phylum	0.102459888725514
MN_V1_V2_illumina_EMU_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	phylum	0.300125889159984
MN_V1_V2_illumina_EMU_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	6	D6300	phylum	0.271370691194707
Q_V1_V2_illumina_EMU_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	phylum	0.0299822982516661
Q_V1_V2_illumina_EMU_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	phylum	0.191764122675146
Q_V1_V2_illumina_EMU_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	7	D6300	phylum	0.00763703108638865
V1_V9_ONT__EMU_EMUdb_I1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	phylum	0.998551513185597
V1_V9_ONT__EMU_EMUdb_I2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	phylum	0.998781566960622
V1_V9_ONT__EMU_EMUdb_I3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	phylum	0.999133657418664
V1_V9_ONT__EMU_EMUdb_I4_D6300	I	I4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	phylum	0.995113101062829
V1_V9_ONT__EMU_EMUdb_I5_D6300	I	I5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		1	D6300	phylum	0.99352439209613
V1_V9_ONT__EMU_EMUdb_MN1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	phylum	0.0937437497038367
V1_V9_ONT__EMU_EMUdb_MN3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	phylum	0.387525652355852
V1_V9_ONT__EMU_EMUdb_MN4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	phylum	0.374171269381174
V1_V9_ONT__EMU_EMUdb_MN5_D6300	MN	MN4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		2	D6300	phylum	0.0165495867131779
V1_V9_ONT__EMU_EMUdb_Q1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	phylum	0.0489732506229527
V1_V9_ONT__EMU_EMUdb_Q2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	phylum	0.00835153474342776
V1_V9_ONT__EMU_EMUdb_Q3_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	phylum	0.0259371885305035
V1_V9_ONT__EMU_EMUdb_Q4_D6300	Q	Q4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	phylum	0.04380492728246
V1_V9_ONT__EMU_EMUdb_Q5_D6300	Q	Q5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		3	D6300	phylum	0.0782194854621672
V1_V9_ONT__EMU_EMUdb_Z1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	phylum	0.618889570970984
V1_V9_ONT__EMU_EMUdb_Z2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	phylum	0.551496524367184
V1_V9_ONT__EMU_EMUdb_Z3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	phylum	0.393965664706247
V1_V9_ONT__EMU_EMUdb_Z4_D6300	Z	Z4	Zymo_D3600	4	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	phylum	0.309235466508667
V1_V9_ONT__EMU_EMUdb_Z5_D6300	Z	Z5	Zymo_D3600	5	EMUdb	V1_V9	ONT	EMU	NA	MCM_Zymo_D3600	NA	NA		4	D6300	phylum	0.217362556808477
Z_V1_V2_illumina_EMU_EMUdb_1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	phylum	0.624594238948487
Z_V1_V2_illumina_EMU_EMUdb_2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	phylum	0.577166294808901
Z_V1_V2_illumina_EMU_EMUdb_3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	8	D6300	phylum	0.304371325831477
I_V1_V2_illumina_EMU_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	order	0.994560227924848
I_V1_V2_illumina_EMU_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	order	0.990170201918156
I_V1_V2_illumina_EMU_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	EMU	NA	NA	NA	NA	NA	5	D6300	order	0.973960480722087
