Species	sample	l2Fold_Diff	is.significant	db	workflow
Bacillus subtilis	Zymo_6300_VS_I_V1_V2	0.629354173189633	FALSE	EmuDB	Emu
Enterococcus faecalis	Zymo_6300_VS_I_V1_V2	-0.467353381149585	FALSE	EmuDB	Emu
Escherichia coli	Zymo_6300_VS_I_V1_V2	-0.127511047464676	FALSE	EmuDB	Emu
Limosilactobacillus fermentum	Zymo_6300_VS_I_V1_V2	-0.926311849555216	FALSE	EmuDB	Emu
Listeria monocytogenes	Zymo_6300_VS_I_V1_V2	-0.632431654351404	FALSE	EmuDB	Emu
Pseudomonas aeruginosa	Zymo_6300_VS_I_V1_V2	0.46011710303921	FALSE	EmuDB	Emu
Salmonella enterica	Zymo_6300_VS_I_V1_V2	-0.147835107967569	FALSE	EmuDB	Emu
Staphylococcus aureus	Zymo_6300_VS_I_V1_V2	-0.691930931323762	FALSE	EmuDB	Emu
Bacillus subtilis	Zymo_6300_VS_I_V1_V9	-0.554408804710674	FALSE	EmuDB	Emu
Enterococcus faecalis	Zymo_6300_VS_I_V1_V9	-0.631042962120946	FALSE	EmuDB	Emu
Escherichia coli	Zymo_6300_VS_I_V1_V9	-0.627773102536402	FALSE	EmuDB	Emu
Limosilactobacillus fermentum	Zymo_6300_VS_I_V1_V9	-0.348718557522169	FALSE	EmuDB	Emu
Listeria monocytogenes	Zymo_6300_VS_I_V1_V9	-0.771400916693228	FALSE	EmuDB	Emu
Pseudomonas aeruginosa	Zymo_6300_VS_I_V1_V9	1.83553277635112	FALSE	EmuDB	Emu
Salmonella enterica	Zymo_6300_VS_I_V1_V9	-0.489339098344884	FALSE	EmuDB	Emu
Staphylococcus aureus	Zymo_6300_VS_I_V1_V9	-0.610022962775034	FALSE	EmuDB	Emu
Bacillus subtilis	Zymo_6300_VS_MN_V1_V2	-0.09158389062712	FALSE	EmuDB	Emu
Enterococcus faecalis	Zymo_6300_VS_MN_V1_V2	0.337459517142743	FALSE	EmuDB	Emu
Escherichia coli	Zymo_6300_VS_MN_V1_V2	-2.15090621710771	TRUE	EmuDB	Emu
Limosilactobacillus fermentum	Zymo_6300_VS_MN_V1_V2	0.862391294776233	FALSE	EmuDB	Emu
Listeria monocytogenes	Zymo_6300_VS_MN_V1_V2	1.11295352511739	FALSE	EmuDB	Emu
Pseudomonas aeruginosa	Zymo_6300_VS_MN_V1_V2	-1.43664509358822	FALSE	EmuDB	Emu
Salmonella enterica	Zymo_6300_VS_MN_V1_V2	-2.06836642830334	TRUE	EmuDB	Emu
Staphylococcus aureus	Zymo_6300_VS_MN_V1_V2	0.422442762291644	FALSE	EmuDB	Emu
Bacillus subtilis	Zymo_6300_VS_MN_V1_V9	-1.23115858851614	FALSE	EmuDB	Emu
Enterococcus faecalis	Zymo_6300_VS_MN_V1_V9	0.411807366856941	FALSE	EmuDB	Emu
