sample	db	workflow	is.significant	N
Zymo_6300_VS_I_V1_V2	EmuDB	Emu	FALSE	8
Zymo_6300_VS_I_V1_V9	EmuDB	Emu	FALSE	8
Zymo_6300_VS_MN_V1_V2	EmuDB	Emu	FALSE	6
Zymo_6300_VS_MN_V1_V2	EmuDB	Emu	TRUE	2
Zymo_6300_VS_MN_V1_V9	EmuDB	Emu	FALSE	6
Zymo_6300_VS_MN_V1_V9	EmuDB	Emu	TRUE	2
Zymo_6300_VS_Q_V1_V2	EmuDB	Emu	FALSE	5
Zymo_6300_VS_Q_V1_V2	EmuDB	Emu	TRUE	3
Zymo_6300_VS_Q_V1_V9	EmuDB	Emu	TRUE	5
Zymo_6300_VS_Q_V1_V9	EmuDB	Emu	FALSE	3
Zymo_6300_VS_Z_V1_V2	EmuDB	Emu	FALSE	8
Zymo_6300_VS_Z_V1_V9	EmuDB	Emu	FALSE	5
Zymo_6300_VS_Z_V1_V9	EmuDB	Emu	TRUE	3
