Row.names	sample	DNA_isolation_method	sample_name	GS_name	sample_nr	db	Vregion	platform	workflow	method	project	bamfile	mapq.filt	sequencing_date	group	GS_version	Detection_threshold_ratio	Detection_threshold	statistic	value	Detection_threshold_percent	level
I_V1_V2_illumina_dada2_EMUdb_1_D6300	I_V1_V2_illumina_dada2_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	1e-04	1.3756	True_positives	3	0.01%	Species
I_V1_V2_illumina_dada2_EMUdb_1_D6300	I_V1_V2_illumina_dada2_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.001	13.756	True_positives	3	0.1%	Species
I_V1_V2_illumina_dada2_EMUdb_1_D6300	I_V1_V2_illumina_dada2_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.01	137.56	True_positives	3	1%	Species
I_V1_V2_illumina_dada2_EMUdb_2_D6300	I_V1_V2_illumina_dada2_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	1e-04	1.4938	True_positives	3	0.01%	Species
I_V1_V2_illumina_dada2_EMUdb_2_D6300	I_V1_V2_illumina_dada2_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.001	14.938	True_positives	3	0.1%	Species
I_V1_V2_illumina_dada2_EMUdb_2_D6300	I_V1_V2_illumina_dada2_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.01	149.38	True_positives	3	1%	Species
I_V1_V2_illumina_dada2_EMUdb_3_D6300	I_V1_V2_illumina_dada2_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	1e-04	1.1243	True_positives	3	0.01%	Species
I_V1_V2_illumina_dada2_EMUdb_3_D6300	I_V1_V2_illumina_dada2_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.001	11.243	True_positives	3	0.1%	Species
I_V1_V2_illumina_dada2_EMUdb_3_D6300	I_V1_V2_illumina_dada2_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.01	112.43	True_positives	3	1%	Species
MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	1e-04	1.2485	True_positives	3	0.01%	Species
MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.001	12.485	True_positives	3	0.1%	Species
MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.01	124.85	True_positives	3	1%	Species
MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	1e-04	1.2651	True_positives	3	0.01%	Species
MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.001	12.651	True_positives	3	0.1%	Species
MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN_V1_V2_illumina_dada2_EMUdb_3_D6300	MN	MN2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.01	126.51	True_positives	3	1%	Species
MN_V1_V2_illumina_dada2_EMUdb_4_D6300	MN_V1_V2_illumina_dada2_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	1e-04	1.1342	True_positives	3	0.01%	Species
MN_V1_V2_illumina_dada2_EMUdb_4_D6300	MN_V1_V2_illumina_dada2_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.001	11.342	True_positives	3	0.1%	Species
MN_V1_V2_illumina_dada2_EMUdb_4_D6300	MN_V1_V2_illumina_dada2_EMUdb_4_D6300	MN	MN3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.01	113.42	True_positives	3	1%	Species
Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	1e-04	0.812	True_positives	3	0.01%	Species
Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	0.001	8.12	True_positives	3	0.1%	Species
Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q_V1_V2_illumina_dada2_EMUdb_1_D6300	Q	Q1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	0.01	81.2	True_positives	3	1%	Species
Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	1e-04	1.0616	True_positives	3	0.01%	Species
Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	0.001	10.616	True_positives	3	0.1%	Species
Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q_V1_V2_illumina_dada2_EMUdb_2_D6300	Q	Q2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	0.01	106.16	True_positives	3	1%	Species
Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	1e-04	0.5382	True_positives	3	0.01%	Species
Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	0.001	5.382	True_positives	3	0.1%	Species
Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Q_V1_V2_illumina_dada2_EMUdb_4_D6300	Q	Q3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	3	D6300	0.01	53.82	True_positives	3	1%	Species
Z_V1_V2_illumina_dada2_EMUdb_1_D6300	Z_V1_V2_illumina_dada2_EMUdb_1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	1e-04	1.1026	True_positives	3	0.01%	Species
Z_V1_V2_illumina_dada2_EMUdb_1_D6300	Z_V1_V2_illumina_dada2_EMUdb_1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	0.001	11.026	True_positives	3	0.1%	Species
Z_V1_V2_illumina_dada2_EMUdb_1_D6300	Z_V1_V2_illumina_dada2_EMUdb_1_D6300	Z	Z1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	0.01	110.26	True_positives	3	1%	Species
Z_V1_V2_illumina_dada2_EMUdb_2_D6300	Z_V1_V2_illumina_dada2_EMUdb_2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	1e-04	0.741	True_positives	3	0.01%	Species
Z_V1_V2_illumina_dada2_EMUdb_2_D6300	Z_V1_V2_illumina_dada2_EMUdb_2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	0.001	7.41	True_positives	3	0.1%	Species
Z_V1_V2_illumina_dada2_EMUdb_2_D6300	Z_V1_V2_illumina_dada2_EMUdb_2_D6300	Z	Z2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	0.01	74.1	True_positives	3	1%	Species
Z_V1_V2_illumina_dada2_EMUdb_3_D6300	Z_V1_V2_illumina_dada2_EMUdb_3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	1e-04	0.9913	True_positives	3	0.01%	Species
Z_V1_V2_illumina_dada2_EMUdb_3_D6300	Z_V1_V2_illumina_dada2_EMUdb_3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	0.001	9.913	True_positives	3	0.1%	Species
Z_V1_V2_illumina_dada2_EMUdb_3_D6300	Z_V1_V2_illumina_dada2_EMUdb_3_D6300	Z	Z3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	4	D6300	0.01	99.13	True_positives	3	1%	Species
I_V1_V2_illumina_dada2_EMUdb_1_D6300	I_V1_V2_illumina_dada2_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	1e-04	1.3756	False_positives	3	0.01%	Species
I_V1_V2_illumina_dada2_EMUdb_1_D6300	I_V1_V2_illumina_dada2_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.001	13.756	False_positives	3	0.1%	Species
I_V1_V2_illumina_dada2_EMUdb_1_D6300	I_V1_V2_illumina_dada2_EMUdb_1_D6300	I	I1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.01	137.56	False_positives	3	1%	Species
I_V1_V2_illumina_dada2_EMUdb_2_D6300	I_V1_V2_illumina_dada2_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	1e-04	1.4938	False_positives	3	0.01%	Species
I_V1_V2_illumina_dada2_EMUdb_2_D6300	I_V1_V2_illumina_dada2_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.001	14.938	False_positives	3	0.1%	Species
I_V1_V2_illumina_dada2_EMUdb_2_D6300	I_V1_V2_illumina_dada2_EMUdb_2_D6300	I	I2	Zymo_D3600	2	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.01	149.38	False_positives	3	1%	Species
I_V1_V2_illumina_dada2_EMUdb_3_D6300	I_V1_V2_illumina_dada2_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	1e-04	1.1243	False_positives	3	0.01%	Species
I_V1_V2_illumina_dada2_EMUdb_3_D6300	I_V1_V2_illumina_dada2_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.001	11.243	False_positives	3	0.1%	Species
I_V1_V2_illumina_dada2_EMUdb_3_D6300	I_V1_V2_illumina_dada2_EMUdb_3_D6300	I	I3	Zymo_D3600	3	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.01	112.43	False_positives	3	1%	Species
MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	1e-04	1.2485	False_positives	3	0.01%	Species
MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN_V1_V2_illumina_dada2_EMUdb_1_D6300	MN	MN1	Zymo_D3600	1	EMUdb	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.001	12.485	False_positives	3	0.1%	Species
