Row.names	sample	DNA_isolation_method	sample_name	GS_name	sample_nr	db	Vregion	platform	workflow	method	project	bamfile	mapq.filt	sequencing_date	group	GS_version	Detection_threshold_ratio	Detection_threshold	statistic	value	Detection_threshold_percent	level
I_V1_V2_illumina_dada2_SILVA_1_D6300	I_V1_V2_illumina_dada2_SILVA_1_D6300	I	I1	Zymo_D3600	1	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	1e-04	1.3964	True_positives	6	0.01%	Species
I_V1_V2_illumina_dada2_SILVA_1_D6300	I_V1_V2_illumina_dada2_SILVA_1_D6300	I	I1	Zymo_D3600	1	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.001	13.964	True_positives	6	0.1%	Species
I_V1_V2_illumina_dada2_SILVA_1_D6300	I_V1_V2_illumina_dada2_SILVA_1_D6300	I	I1	Zymo_D3600	1	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.01	139.64	True_positives	6	1%	Species
I_V1_V2_illumina_dada2_SILVA_2_D6300	I_V1_V2_illumina_dada2_SILVA_2_D6300	I	I2	Zymo_D3600	2	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	1e-04	1.381	True_positives	6	0.01%	Species
I_V1_V2_illumina_dada2_SILVA_2_D6300	I_V1_V2_illumina_dada2_SILVA_2_D6300	I	I2	Zymo_D3600	2	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.001	13.81	True_positives	6	0.1%	Species
I_V1_V2_illumina_dada2_SILVA_2_D6300	I_V1_V2_illumina_dada2_SILVA_2_D6300	I	I2	Zymo_D3600	2	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.01	138.1	True_positives	6	1%	Species
I_V1_V2_illumina_dada2_SILVA_3_D6300	I_V1_V2_illumina_dada2_SILVA_3_D6300	I	I3	Zymo_D3600	3	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	1e-04	1.0347	True_positives	6	0.01%	Species
I_V1_V2_illumina_dada2_SILVA_3_D6300	I_V1_V2_illumina_dada2_SILVA_3_D6300	I	I3	Zymo_D3600	3	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.001	10.347	True_positives	6	0.1%	Species
I_V1_V2_illumina_dada2_SILVA_3_D6300	I_V1_V2_illumina_dada2_SILVA_3_D6300	I	I3	Zymo_D3600	3	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	1	D6300	0.01	103.47	True_positives	6	1%	Species
MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN	MN1	Zymo_D3600	1	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	1e-04	2.3018	True_positives	6	0.01%	Species
MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN	MN1	Zymo_D3600	1	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.001	23.018	True_positives	6	0.1%	Species
MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN	MN1	Zymo_D3600	1	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.01	230.18	True_positives	6	1%	Species
MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN	MN2	Zymo_D3600	2	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	1e-04	2.4098	True_positives	6	0.01%	Species
MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN	MN2	Zymo_D3600	2	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.001	24.098	True_positives	6	0.1%	Species
MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN	MN2	Zymo_D3600	2	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.01	240.98	True_positives	6	1%	Species
MN_V1_V2_illumina_dada2_SILVA_4_D6300	MN_V1_V2_illumina_dada2_SILVA_4_D6300	MN	MN3	Zymo_D3600	3	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	1e-04	2.2858	True_positives	6	0.01%	Species
MN_V1_V2_illumina_dada2_SILVA_4_D6300	MN_V1_V2_illumina_dada2_SILVA_4_D6300	MN	MN3	Zymo_D3600	3	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.001	22.858	True_positives	6	0.1%	Species
MN_V1_V2_illumina_dada2_SILVA_4_D6300	MN_V1_V2_illumina_dada2_SILVA_4_D6300	MN	MN3	Zymo_D3600	3	SILVA	V1_V2	Illumina	dada2	NA	NA	NA	NA	NA	2	D6300	0.01	228.58	True_positives	6	1%	Species
