species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	I_V1_V2_illumina_dada2_SILVA_1_D6300	I_V1_V2_illumina_dada2_SILVA_2_D6300	I_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_1_D6300	MN_V1_V2_illumina_dada2_SILVA_3_D6300	MN_V1_V2_illumina_dada2_SILVA_4_D6300	Q_V1_V2_illumina_dada2_SILVA_1_D6300	Q_V1_V2_illumina_dada2_SILVA_2_D6300	Q_V1_V2_illumina_dada2_SILVA_4_D6300	Z_V1_V2_illumina_dada2_SILVA_1_D6300	Z_V1_V2_illumina_dada2_SILVA_2_D6300	Z_V1_V2_illumina_dada2_SILVA_4_D6300
Bacillus atrophaeus	0	0	0	0	2444	2259	1894	2818	3929	4434	3091	4955	1658	3789	2409	3605
Bacillus intestinalis	0	0	0	0	1433	1308	1100	1673	2190	2645	1757	3046	1030	2130	1375	2327
Bacillus subtilis	1740000	1740000	1740000	1740000	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus faecalis	990000	990000	990000	990000	1830	1811	1476	896	1263	753	277	480	137	1647	1079	951
Escherichia coli	1010000	1010000	1010000	1010000	606	465	313	2138	2080	1699	1994	1604	1422	1629	1027	1401
Limosilactobacillus fermentum	1840000	1840000	1840000	1840000	0	0	0	0	0	0	0	0	0	0	0	0
Listeria monocytogenes	1410000	1410000	1410000	1410000	2608	2547	2139	650	864	606	256	431	128	1527	928	973
Pseudomonas aeruginosa	420000	420000	420000	420000	168	645	300	1431	663	1683	505	2307	451	233	154	1489
Salmonella enterica	1040000	1040000	1040000	1040000	3030	2804	1629	10164	9609	8222	9443	8230	6540	7204	4933	7037
Shigella boydii	0	0	0	0	305	273	189	1132	1076	837	1043	846	706	908	513	732
Shigella sonnei	0	0	0	0	453	504	261	1725	1817	1588	1602	1494	1089	1139	878	1279
Staphylococcus argenteus	0	0	0	0	222	301	297	79	123	106	14	24	4	29	43	38
Staphylococcus aureus	1550000	1550000	1550000	1550000	669	760	634	251	398	234	22	80	17	76	87	80
Staphylococcus phage	0	0	0	0	196	133	115	61	86	51	10	18	4	49	18	22
