genus	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300
Abiotrophia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	9	9	6	3	2	0	2	0	4	2	2
Acutalibacter	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	12	9	12	11	10	8	5	6	20	7	7
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	5	1	1	2	1	2
Alginatibacterium	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	141	115	74	487	370	310	373	306	228	249	176	325
Alicyclobacillus	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	5	2	8	3	5	4	4	1	9	3	4
Atlantibacter	0	0	0	0	0	0	0	2	1	1	1	2	0	1	1	0	0	0	0	1	0	0	0	2	2	3	7	9	4	12	1	4	1	3	3
Bacillus	1740000	1740000	1740000	1740000	6809	7774	7995	8780	12055	11719	5963	11265	12373	8548	15517	1868	1563	3350	1697	2255	2247	2839	2460	13613	12254	9981	14988	20227	22988	15619	26323	8459	18447	11868	19838
Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	85	82	81	139	108	149	178	78	126	85	130
Campylobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	4	1	1	0	1
Citrobacter	0	0	0	0	2	0	1	17	5	13	1	1	27	2	0	0	0	0	0	3	3	0	1	820	816	541	2986	2727	2335	2666	2458	1749	1863	1230	2342
Clostridium	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	58	75	63	72	129	109	86	131	52	84	58	113
Cronobacter	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	25	16	8	82	72	39	72	44	52	46	32	40
Enterobacter	0	0	0	0	6	4	4	23	3	12	3	9	8	3	8	2	0	0	4	7	3	1	2	440	278	172	1493	1331	942	1118	1087	746	795	587	727
Enterococcus	990000	990000	990000	990000	9231	10026	10303	4496	6674	1803	878	1231	8121	6574	4145	2537	2347	978	522	220	335	1503	1215	7711	7757	6378	3623	5178	3134	1160	1948	624	6462	4203	3992
Erwinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	36	32	111	164	102	178	143	122	108	67	139
Escherichia	1010000	1010000	1010000	1010000	5903	6616	7044	22645	19644	24182	17645	22519	16147	13252	18552	1428	1297	4229	5237	4397	4110	4181	4360	5326	3874	2200	16907	14845	11824	14118	12944	9470	10908	7007	10246
Franconibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	7	2	4	3	2	0	6	1
Gemella	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	3	0	1	0	0	0	2
Geobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	371	357	325	500	615	448	728	225	407	298	695
Gracilibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	0	0	2	0	1	0	1	2	1
Halolactibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	4	2	1	0	3	2	1	1	2
Izhakiella	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	8	10	2	21	30	18	31	31	16	18	7	25
Klebsiella	0	0	0	0	0	2	0	3	2	0	0	2	1	2	3	1	1	0	0	2	1	0	0	691	938	585	2854	2985	2326	3359	2552	2280	2182	1451	2613
Kosakonia	0	0	0	0	0	0	0	2	1	0	0	0	4	0	0	0	1	0	0	1	0	0	0	24	20	7	102	82	64	94	68	60	56	47	54
Laceyella	0	0	0	0	334	385	383	470	467	460	320	441	372	361	449	95	92	140	122	107	97	104	119	4	2	4	8	10	7	8	13	7	7	9	9
Lactiplantibacillus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	7	3	2	0	0	0	0	6	1	1
Lactobacillus	0	0	0	0	1	1	0	0	1	0	0	0	2	2	3	0	0	0	0	0	0	0	0	113	98	81	40	35	19	10	14	4	53	23	18
Leclercia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	6	7	6	2	4	10	4	3	3
Lelliottia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3428	2973	1900	11937	11884	9838	11383	9924	7666	8329	5826	8346
Limosilactobacillus	1840000	1840000	1840000	1840000	12026	11915	12272	3510	3528	967	449	558	6972	5257	4196	2978	3219	483	362	171	187	579	424	15884	20958	16569	5712	5551	3703	1291	3153	644	10980	6317	3955
