species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z1_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z2_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z3_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_I5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_MN5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Q5_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z4_D6300	V1_V9_ONT__minitax_v3_EMUdb_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	I_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_EMUdb_RandAln_4_D6300
Bacillus atrophaeus	0	0	0	0	1	4	7	6	7	3	2	5	31	6	5	2	2	2	0	2	3	2	0	1292	1221	1053	1468	2032	2415	1610	2651	881	1949	1243	1999
Bacillus halotolerans	0	0	0	0	1536	1782	1762	2116	2837	2792	1421	2942	3270	1948	3778	500	381	862	411	550	574	698	590	431	409	376	494	719	826	556	904	295	614	451	699
Bacillus sp. JS	0	0	0	0	55	65	59	50	92	84	40	55	93	61	105	23	6	20	11	18	18	23	17	767	698	567	828	1161	1376	902	1634	483	1063	675	1170
Bacillus subtilis	1740000	1740000	1740000	1740000	4705	5395	5578	5852	8248	7989	4053	6832	7808	5900	10547	1177	1055	2212	1159	1485	1470	1896	1697	5701	5041	4211	6135	8385	9650	6386	11024	3482	7759	4966	8255
Bacillus vallismortis	0	0	0	0	30	31	40	45	63	71	49	414	62	35	65	4	8	16	4	10	10	16	9	845	827	652	950	1350	1619	1075	1827	576	1255	802	1399
Bacillus velezensis	0	0	0	0	117	108	119	165	170	154	73	114	276	133	212	41	22	55	32	35	52	44	41	2127	1665	1263	2248	2862	3010	2185	3579	1210	2548	1624	2585
Citrobacter amalonaticus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	620	400	2112	1962	1792	1923	1861	1264	1359	889	1728
Enterococcus faecalis	990000	990000	990000	990000	9228	10024	10301	4496	6674	1803	878	1231	8116	6572	4142	2537	2346	977	522	220	334	1503	1214	6454	5524	4328	2826	3929	2390	833	1474	437	4806	3132	2765
Escherichia coli	1010000	1010000	1010000	1010000	5861	6579	7005	22343	19472	23996	17525	22406	15843	13180	18456	1411	1291	4204	5202	4327	4069	4156	4338	5062	3705	2097	16062	14091	11287	13446	12255	9026	10388	6697	9734
Klebsiella pneumoniae	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	1	0	0	0	1	1	0	0	521	874	550	2488	2715	2122	3133	2349	2108	1971	1357	2468
Lelliottia amnigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3428	2973	1900	11937	11884	9838	11383	9924	7666	8329	5826	8346
