Species	sample	l2Fold_Diff	is.significant	db	workflow
Bacillus subtilis	Zymo_6300_VS_I_V1_V2	0.611123105998872	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_6300_VS_I_V1_V2	-0.318213316147418	FALSE	EmuDB	minitax
Escherichia coli	Zymo_6300_VS_I_V1_V2	0.337579827400555	FALSE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_6300_VS_I_V1_V2	-1.15529716446471	FALSE	EmuDB	minitax
Listeria monocytogenes	Zymo_6300_VS_I_V1_V2	-0.888073284252268	FALSE	EmuDB	minitax
Pseudomonas aeruginosa	Zymo_6300_VS_I_V1_V2	0.240040402947708	FALSE	EmuDB	minitax
Salmonella enterica	Zymo_6300_VS_I_V1_V2	-0.418877543201466	FALSE	EmuDB	minitax
Staphylococcus aureus	Zymo_6300_VS_I_V1_V2	-1.00378021167787	FALSE	EmuDB	minitax
Bacillus subtilis	Zymo_6300_VS_I_V1_V9	0.906910205908184	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_6300_VS_I_V1_V9	-0.909004781483907	FALSE	EmuDB	minitax
Escherichia coli	Zymo_6300_VS_I_V1_V9	-0.175526024579612	FALSE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_6300_VS_I_V1_V9	-0.333692178667011	FALSE	EmuDB	minitax
Listeria monocytogenes	Zymo_6300_VS_I_V1_V9	-0.364133708200169	FALSE	EmuDB	minitax
Pseudomonas aeruginosa	Zymo_6300_VS_I_V1_V9	1.57131219641339	FALSE	EmuDB	minitax
Salmonella enterica	Zymo_6300_VS_I_V1_V9	-0.220253979947971	FALSE	EmuDB	minitax
Staphylococcus aureus	Zymo_6300_VS_I_V1_V9	-0.623882067690979	FALSE	EmuDB	minitax
Bacillus subtilis	Zymo_6300_VS_MN_V1_V2	-0.0969690570163915	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_6300_VS_MN_V1_V2	0.486558251766731	FALSE	EmuDB	minitax
Escherichia coli	Zymo_6300_VS_MN_V1_V2	-1.67991439770892	FALSE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_6300_VS_MN_V1_V2	0.656784678716792	FALSE	EmuDB	minitax
Listeria monocytogenes	Zymo_6300_VS_MN_V1_V2	0.869578749761724	FALSE	EmuDB	minitax
Pseudomonas aeruginosa	Zymo_6300_VS_MN_V1_V2	-1.60869752995206	FALSE	EmuDB	minitax
Salmonella enterica	Zymo_6300_VS_MN_V1_V2	-2.35175295955607	TRUE	EmuDB	minitax
Staphylococcus aureus	Zymo_6300_VS_MN_V1_V2	0.122692902951078	FALSE	EmuDB	minitax
Bacillus subtilis	Zymo_6300_VS_MN_V1_V9	0.277007091470182	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_6300_VS_MN_V1_V9	0.228683840744224	FALSE	EmuDB	minitax
Escherichia coli	Zymo_6300_VS_MN_V1_V9	-2.15718461933763	TRUE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_6300_VS_MN_V1_V9	1.81216940265169	FALSE	EmuDB	minitax
Listeria monocytogenes	Zymo_6300_VS_MN_V1_V9	1.67676423032811	FALSE	EmuDB	minitax
Pseudomonas aeruginosa	Zymo_6300_VS_MN_V1_V9	-1.3651567953437	FALSE	EmuDB	minitax
Salmonella enterica	Zymo_6300_VS_MN_V1_V9	-2.09939850873631	TRUE	EmuDB	minitax
Staphylococcus aureus	Zymo_6300_VS_MN_V1_V9	0.952205088424786	FALSE	EmuDB	minitax
Bacillus subtilis	Zymo_6300_VS_Q_V1_V2	-1.00653029922497	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_6300_VS_Q_V1_V2	1.12549231348965	FALSE	EmuDB	minitax
Escherichia coli	Zymo_6300_VS_Q_V1_V2	-2.75808337739773	TRUE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_6300_VS_Q_V1_V2	1.23803028470687	FALSE	EmuDB	minitax
Listeria monocytogenes	Zymo_6300_VS_Q_V1_V2	1.19602095186632	FALSE	EmuDB	minitax
Pseudomonas aeruginosa	Zymo_6300_VS_Q_V1_V2	-2.31288192684971	TRUE	EmuDB	minitax
Salmonella enterica	Zymo_6300_VS_Q_V1_V2	-3.53709550010329	TRUE	EmuDB	minitax
Staphylococcus aureus	Zymo_6300_VS_Q_V1_V2	1.34166038343835	FALSE	EmuDB	minitax
Bacillus subtilis	Zymo_6300_VS_Q_V1_V9	-0.76179710484212	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_6300_VS_Q_V1_V9	0.761913781130891	FALSE	EmuDB	minitax
Escherichia coli	Zymo_6300_VS_Q_V1_V9	-3.24623894734396	TRUE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_6300_VS_Q_V1_V9	2.49349545523561	TRUE	EmuDB	minitax
Listeria monocytogenes	Zymo_6300_VS_Q_V1_V9	1.85406053698132	FALSE	EmuDB	minitax
Pseudomonas aeruginosa	Zymo_6300_VS_Q_V1_V9	-1.53290534427657	FALSE	EmuDB	minitax
Salmonella enterica	Zymo_6300_VS_Q_V1_V9	-3.20691353263609	TRUE	EmuDB	minitax
Staphylococcus aureus	Zymo_6300_VS_Q_V1_V9	2.80520915177275	TRUE	EmuDB	minitax
Bacillus subtilis	Zymo_6300_VS_Z_V1_V2	0.0670011433842887	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_6300_VS_Z_V1_V2	0.227583849772012	FALSE	EmuDB	minitax
Escherichia coli	Zymo_6300_VS_Z_V1_V2	-1.07160177637303	FALSE	EmuDB	minitax
Limosilactobacillus fermentum	Zymo_6300_VS_Z_V1_V2	0.151628677616136	FALSE	EmuDB	minitax
Listeria monocytogenes	Zymo_6300_VS_Z_V1_V2	0.219613841379838	FALSE	EmuDB	minitax
Pseudomonas aeruginosa	Zymo_6300_VS_Z_V1_V2	-0.70262224601269	FALSE	EmuDB	minitax
Salmonella enterica	Zymo_6300_VS_Z_V1_V2	-1.8682076350894	FALSE	EmuDB	minitax
Staphylococcus aureus	Zymo_6300_VS_Z_V1_V2	1.4900235243513	FALSE	EmuDB	minitax
Bacillus subtilis	Zymo_6300_VS_Z_V1_V9	0.040091146516156	FALSE	EmuDB	minitax
Enterococcus faecalis	Zymo_6300_VS_Z_V1_V9	-0.374767849903119	FALSE	EmuDB	minitax
Escherichia coli	Zymo_6300_VS_Z_V1_V9	-1.82996630460774	FALSE	EmuDB	minitax
