class	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Actinomycetia	0	0	0	0	163	190	151	86	95	30	12	19	42	35	32	44	33	16	6	6	2	8	7	267	421	273	529	326	639	196	733	157	140	92	584
Alphaproteobacteria	0	0	0	0	3	6	7	17	14	7	11	8	24	4	12	0	2	1	1	3	3	4	2	56	107	58	171	124	221	80	278	67	52	38	210
Bacilli	7530000	7530000	7530000	7530000	75298	82614	85193	40876	56280	34512	17414	28065	59293	45437	53105	20146	18497	11794	6130	6047	6469	10671	9534	72056	77598	62398	38038	50041	43897	24776	42232	13236	52971	33261	41497
Bacteroidia	0	0	0	0	31	42	49	22	28	31	25	45	36	29	39	8	6	12	8	7	8	11	11	1	0	0	0	1	0	0	1	0	0	0	0
Betaproteobacteria	0	0	0	0	6	4	1	4	9	12	3	5	11	2	4	1	2	1	1	1	1	1	1	132	105	66	382	321	267	328	365	238	245	126	260
Clostridia	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	19	2	2	4	0	4	0	0	1	5	2	1
Cytophagia	0	0	0	0	1	1	2	2	0	1	1	3	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0
Deltaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	2	3	0	0	0	2
Erysipelotrichia	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	2	1	9	2	3	3	13	1	1	1	8
Flavobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1	0	0	1	3	0	2
Gammaproteobacteria	2470000	2470000	2470000	2470000	23056	25538	26848	87747	72550	89107	62946	83445	58869	48173	68421	5573	4907	15666	19749	16221	15061	15312	15753	23243	22958	13676	81484	73034	65534	70498	71748	48121	51918	34751	59033
unclassified	0	0	0	0	183	177	178	631	533	858	498	539	466	353	498	45	41	93	122	115	92	76	104	36	11	6	23	21	24	7	22	7	10	11	15
