genus	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Acinetobacter	0	0	0	0	0	2	1	2	3	1	0	2	16	1	1	0	0	0	1	0	0	0	0	767	823	618	364	566	310	118	201	57	681	446	419
Alkalihalobacillus	0	0	0	0	232	276	287	287	406	350	200	326	527	283	508	70	50	103	59	91	92	107	76	144	115	109	140	194	208	185	237	68	176	106	224
Bacillus	1740000	1740000	1740000	1740000	16472	18733	19609	20289	28865	27901	14131	23540	26800	20463	36660	4171	3773	7732	3875	4942	5200	6644	5805	15479	14798	12219	17729	24611	27474	19357	31411	10421	22408	14401	24456
Citrobacter	0	0	0	0	1943	2097	2314	7113	6156	7539	5149	7123	5054	3893	5580	497	442	1264	1562	1378	1302	1275	1352	2018	1620	979	6608	5757	4327	5598	4870	3533	4077	2474	4226
Cronobacter	0	0	0	0	6	5	3	40	15	17	8	15	35	7	14	2	2	1	5	15	6	4	7	320	293	184	1122	1016	750	906	853	632	696	439	687
Enterobacter	0	0	0	0	190	192	205	695	596	689	477	649	614	362	535	67	38	133	159	122	136	117	141	2422	2144	1249	8400	7791	6127	7228	6862	5026	5357	3604	5491
Enterococcus	990000	990000	990000	990000	9920	10715	11076	4820	7247	1909	928	1300	8827	7091	4455	2777	2492	1043	556	249	353	1626	1298	7376	7479	6281	3632	5126	3011	1169	1907	657	6370	4152	3980
Escherichia	1010000	1010000	1010000	1010000	6953	7716	8209	24923	22363	27791	19933	26042	18031	15300	21247	1608	1466	4909	5825	4900	4625	4794	4928	4385	3563	2133	14432	13792	11257	13218	11723	8845	9807	6616	9731
Kosakonia	0	0	0	0	166	239	208	750	592	752	510	664	464	409	583	39	34	130	152	132	129	122	115	358	318	166	1336	1150	889	1150	1124	801	910	545	806
Lactobacillus	0	0	0	0	2551	2736	2712	753	791	201	97	119	1395	1171	984	657	677	114	72	43	36	131	97	915	1310	1025	352	315	214	67	195	34	654	369	242
Limosilactobacillus	1840000	1840000	1840000	1840000	13476	13728	14496	4160	4155	1119	536	678	8241	6123	4821	3525	3641	554	430	203	221	697	504	18495	22343	17304	6253	6032	4035	1354	3433	686	11769	6729	4161
Listeria	1410000	1410000	1410000	1410000	15909	18407	18660	4154	6062	2038	995	1377	9929	7492	3860	4450	3917	925	510	333	383	1071	1405	14164	15275	13030	3728	5179	3667	1419	2573	714	8135	5038	5997
Paraburkholderia	0	0	0	0	1	0	0	4	7	10	1	2	8	0	0	1	2	0	0	1	1	0	0	98	97	64	364	310	259	322	353	228	237	122	252
Pectobacterium	0	0	0	0	118	121	136	287	232	244	121	186	492	145	248	42	25	47	35	70	49	42	40	12	9	7	12	16	16	15	27	7	21	11	8
Prochlorothrix	0	0	0	0	180	175	177	629	533	853	495	536	463	349	495	42	40	93	120	114	92	76	104	0	0	0	0	1	1	0	0	0	0	0	1
Pseudomonas	420000	420000	420000	420000	1594	1621	1676	8931	4550	4498	3358	4741	2485	2014	3672	369	335	1211	1839	966	701	814	750	775	2970	1547	6837	3119	9013	2382	11591	2174	1132	747	7549
Salmonella	1040000	1040000	1040000	1040000	7930	8837	9269	28534	24492	30925	21652	28636	20065	16849	23545	1922	1678	5195	6450	5502	5290	5299	5374	6105	5851	3581	20882	19925	16986	20112	17389	13706	14757	10267	15218
Shigella	0	0	0	0	4140	4685	4814	16337	13475	16594	11706	15346	11453	9155	12946	1019	885	2765	3704	3109	2810	2831	3038	5470	4889	2941	19566	18235	14619	18052	15702	12171	13224	8876	13621
Staphylococcus	1550000	1550000	1550000	1550000	16652	17905	18265	6293	8615	881	461	631	3278	2736	1670	4462	3929	1294	605	157	158	367	326	14499	15565	11973	5506	7790	4622	661	1704	370	2709	2069	1733
Streptomyces	0	0	0	0	5	11	3	8	6	6	3	4	12	0	8	4	1	1	0	1	0	4	1	41	149	88	320	134	423	128	493	109	71	49	413
