DNA_isolation_method	platform	rank	R2_mean
I	Illumina	phylum	0.995981129182178
I	Illumina	order	0.991298037420061
I	Illumina	genus	0.86262389063061
I	Illumina	species	0.3912998313959
I	ONT	phylum	0.998527703770209
I	ONT	order	0.993032924230887
I	ONT	genus	0.905931138369585
I	ONT	species	0.257243986119388
MN	Illumina	phylum	0.487956143340298
MN	Illumina	order	0.487884494426682
MN	Illumina	genus	0.255901509933511
MN	Illumina	species	0.108419097480213
MN	ONT	phylum	0.459561462518412
MN	ONT	order	0.45817579684413
MN	ONT	genus	0.271293526891243
MN	ONT	species	0.033214280824065
Q	Illumina	phylum	0.318727546693335
Q	Illumina	order	0.355217880680386
Q	Illumina	genus	0.121412324909334
Q	Illumina	species	0.0423222979487386
Q	ONT	phylum	0.282236060107249
Q	ONT	order	0.314913244639817
Q	ONT	genus	0.15743300138359
Q	ONT	species	0.0150572690647664
Z	Illumina	phylum	0.684069703026901
Z	Illumina	order	0.636871776048127
Z	Illumina	genus	0.394905136871797
Z	Illumina	species	0.158299980139687
Z	ONT	phylum	0.63116212497067
Z	ONT	order	0.584762947823726
Z	ONT	genus	0.356647987177835
Z	ONT	species	0.0405175723785906
