DNA_isolation_method	platform	rank	R2_mean
I	ONT	phylum	0.917278333253008
I	ONT	order	0.636154417586188
I	ONT	genus	0.402581509054535
I	ONT	species	0.416160785500067
MN	ONT	phylum	0.788691291846805
MN	ONT	order	0.600715921564625
MN	ONT	genus	0.544537823468124
MN	ONT	species	0.553506675085084
Q	ONT	phylum	0.767835520629752
Q	ONT	order	0.535811426734182
Q	ONT	genus	0.505649998945891
Q	ONT	species	0.514109407698815
Z	ONT	phylum	0.839006454777755
Z	ONT	order	0.582403607190299
Z	ONT	genus	0.527682087602663
Z	ONT	species	0.537166673683869
