genus	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_EMUdb_RandAln_Z1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Z3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_Q3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_I3_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN1_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN2_D6331	V1.V9_ONT_minitax_EMUdb_RandAln_MN3_D6331
Akkermansia	97000	97000	97000	97000	1220	359	3023	7	2	14	697	149	90	1307	903	3011
Bacteroides	994000	994000	994000	994000	12200	8522	8384	57	38	29	2425	2175	2745	41990	19145	51571
Bifidobacterium	878000	878000	878000	878000	0	0	0	0	0	0	0	0	0	0	0	0
Clostridioides	262000	262000	262000	262000	33830	29708	29392	101	123	159	3852	3424	4958	86311	78073	61486
Clostridium	20	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	90	90	90	90	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia	1212000	1212000	1212000	1212000	120002	152667	114168	674	876	778	65733	59368	59411	438721	535567	371520
Faecalibacterium	1763000	1763000	1763000	1763000	87177	96022	77933	480	541	444	170846	230252	159745	337842	341911	254395
Fusobacterium	749000	749000	749000	749000	14329	10565	14303	59	46	48	11551	12715	11747	24022	17469	46405
Laceyella	0	0	0	0	866	883	769	9	9	8	2102	2074	2277	2618	2584	2059
Limosilactobacillus	963000	963000	963000	963000	903	866	1048	11	7	8	411145	464796	317781	12391	12384	9089
Methanobrevibacter	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella	498000	498000	498000	498000	10328	6091	8055	55	21	31	2497	1735	2117	34257	12875	35656
Roseburia	989000	989000	989000	989000	15966	13801	15048	54	47	45	403653	327724	487856	59666	54216	41473
Salmonella	900	900	900	900	291	350	264	3	2	2	131	127	95	1068	1361	1033
Shigella	0	0	0	0	10474	13427	10110	54	88	63	5562	5063	5040	39268	47890	33522
Veillonella	1587000	1587000	1587000	1587000	158773	139866	153003	687	641	824	285593	247394	361844	436424	400857	310548
