Row.names	sample	DNA_isolation_method	sample_name	sample_nr	GS_name	bamfile	project	db	Vregion	platform	workflow	mapq.filt	method	GS_version	Detection_threshold_ratio	Detection_threshold	statistic	value	Detection_threshold_percent	level
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	134.0354	True_positives	9	0.01%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1340.354	True_positives	8	0.1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	13403.54	True_positives	5	1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	133.1545	True_positives	9	0.01%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1331.545	True_positives	8	0.1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	13315.45	True_positives	5	1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	139.6491	True_positives	9	0.01%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1396.491	True_positives	8	0.1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	13964.91	True_positives	5	1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	149.7371	True_positives	10	0.01%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1497.371	True_positives	9	0.1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	14973.71	True_positives	7	1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	150.9085	True_positives	10	0.01%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1509.085	True_positives	9	0.1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	15090.85	True_positives	5	1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	1e-04	120.2029	True_positives	10	0.01%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.001	1202.029	True_positives	9	0.1%	Species
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	V1-V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	0.01	12020.29	True_positives	8	1%	Species
