class	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331
Actinomycetia	878000	878000	878000	878000	0	0	0	0	0	0	0	0	0	0	0	0
Bacilli	963090	963090	963090	963090	868	839	1003	11	6	8	395437	447738	306865	11880	11848	8609
Bacteroidia	1492000	1492000	1492000	1492000	22287	14581	16366	110	59	64	5334	4367	5374	75394	32201	85912
Betaproteobacteria	0	0	0	0	111	67	135	3	1	1	18	19	23	282	180	381
Clostridia	3014020	3014020	3014020	3014020	134032	137108	119400	609	695	639	574570	558069	650215	475887	467233	349757
Fusobacteriia	749000	749000	749000	749000	13385	9982	13287	57	44	48	10733	11820	11007	22513	16356	43112
Gammaproteobacteria	1212900	1212900	1212900	1212900	129560	165156	123155	715	955	826	70328	63790	63740	475153	580433	401826
Methanobacteria	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Negativicutes	1587000	1587000	1587000	1587000	157798	139093	152080	689	635	821	283067	245457	359027	433990	398618	308298
unclassified	0	0	0	0	1520	781	3383	8	5	17	867	285	240	2272	2216	4134
Verrucomicrobiae	97000	97000	97000	97000	0	0	0	0	0	0	0	0	0	0	0	0
