genus	Zymo_D6331_Z	Zymo_D6331_Q	Zymo_D6331_I	Zymo_D6331_MN	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331
Acetatifactor	0	0	0	0	941	1065	848	4	6	5	1666	2435	1505	3379	3440	2460
Akkermansia	97000	97000	97000	97000	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides	994000	994000	994000	994000	4928	3449	3500	16	18	16	1008	893	1158	17389	8029	21639
Bifidobacterium	878000	878000	878000	878000	0	0	0	0	0	0	0	0	0	0	0	0
Clostridioides	262000	262000	262000	262000	26703	23544	23044	76	100	130	3035	2697	3975	68434	62917	48871
Clostridium	20	20	20	20	2398	2132	1900	9	8	9	249	276	338	6685	5262	4050
Enterobacter	0	0	0	0	1065	1254	1037	11	8	5	977	884	832	3961	4685	3576
Enterococcus	90	90	90	90	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia	1212000	1212000	1212000	1212000	64049	81442	60048	351	485	411	32394	29684	29433	234466	288676	194713
Faecalibacterium	1763000	1763000	1763000	1763000	84654	93568	75495	456	529	435	164957	223571	155329	329420	333733	246729
Fusobacterium	749000	749000	749000	749000	13385	9982	13287	57	44	48	10733	11820	11007	22513	16356	43112
Lactobacillus	0	0	0	0	125	121	140	2	1	2	56192	64898	46860	1590	1664	1260
Limosilactobacillus	963000	963000	963000	963000	743	718	863	9	5	6	339245	382840	260005	10290	10184	7349
Methanobrevibacter	6600	6600	6600	6600	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola	0	0	0	0	7218	5048	4847	40	20	13	1387	1258	1550	24408	11036	29594
Prevotella	498000	498000	498000	498000	9833	5820	7704	50	17	30	2345	1638	1995	32619	12251	33988
Roseburia	989000	989000	989000	989000	15930	13789	14982	51	45	46	402795	327116	487537	59352	53993	41113
Salmonella	900	900	900	900	268	333	238	2	1	2	116	111	97	957	1183	899
Shigella	0	0	0	0	64178	82127	61832	351	461	408	36841	33111	33378	235769	285889	202638
Subdoligranulum	0	0	0	0	543	501	554	6	1	1	1572	1705	1161	1862	1793	1765
Terrisporobacter	0	0	0	0	2731	2407	2468	5	5	12	286	256	352	6435	5873	4590
unclassified	0	0	0	0	1214	360	3017	7	2	14	690	149	91	1302	891	2989
Veillonella	1587000	1587000	1587000	1587000	157798	139093	152080	689	635	821	283067	245457	359027	433990	398618	308298
