sample	DNA_isolation_method	sample_name	sample_nr	GS_name	bamfile	project	db	Vregion	platform	workflow	mapq.filt	method	GS_version	rank	R2
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I1_D6331	I	I1	1	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I1_bc15_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.918219139180605
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I2_D6331	I	I2	2	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I2_bc16_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.917193205123447
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_I3_D6331	I	I3	3	NA	GUTMCM_minion_v1_9_20240606_invitrogen_I3_bc17_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.916951362542276
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN1_D6331	MN	MN1	1	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN1_bc09_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.834367053066529
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN2_D6331	MN	MN2	2	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN2_bc10_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.7312975056861
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_MN3_D6331	MN	MN3	3	NA	GUTMCM_minion_v1_9_20240606_macherey_nagel_MN3_bc11_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.799788349955283
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q1_D6331	Q	Q1	1	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q1_bc12_bc01_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.81934017168914
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q2_D6331	Q	Q2	2	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q2_bc13_bc02_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.701132959065387
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Q3_D6331	Q	Q3	3	NA	GUTMCM_minion_v1_9_20240606_20240607_qiagen_Q3_bc14_bc03_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.79745819560209
V1.V9_ONT_minitax_all_NCBI_genomes_RandAln_Z1_D6331	Z	Z1	1	NA	GUTMCM_minion_v1_9_20240516_zymo_Z1_bc01_pass.bam	tech.review.gut	NCBI_genome_collection	V1-V9	ONT	minitax	NA	RandAln	D6331	phylum	0.874088316293526
