Species	sample	l2Fold_Diff	is.significant	db	workflow
Akkermansia muciniphila	Zymo_D6331_VS_I_V1_V9	10.8322744984882	TRUE	NCBI	minitax
Bacteroides fragilis	Zymo_D6331_VS_I_V1_V9	5.51271551912637	TRUE	NCBI	minitax
Bifidobacterium adolescentis	Zymo_D6331_VS_I_V1_V9	14.0104344694511	TRUE	NCBI	minitax
Clostridioides difficile	Zymo_D6331_VS_I_V1_V9	1.91802476462487	FALSE	NCBI	minitax
Clostridium perfringens	Zymo_D6331_VS_I_V1_V9	0	FALSE	NCBI	minitax
Enterococcus faecalis	Zymo_D6331_VS_I_V1_V9	0.910501075359694	FALSE	NCBI	minitax
Escherichia coli	Zymo_D6331_VS_I_V1_V9	1.32910188682051	FALSE	NCBI	minitax
Faecalibacterium prausnitzii	Zymo_D6331_VS_I_V1_V9	-1.12974024841447	FALSE	NCBI	minitax
Fusobacterium nucleatum	Zymo_D6331_VS_I_V1_V9	2.62625625119526	TRUE	NCBI	minitax
Limosilactobacillus fermentum	Zymo_D6331_VS_I_V1_V9	-1.88533352766588	FALSE	NCBI	minitax
Methanobrevibacter smithii	Zymo_D6331_VS_I_V1_V9	6.95483164028289	TRUE	NCBI	minitax
Prevotella corporis	Zymo_D6331_VS_I_V1_V9	3.54933892825573	TRUE	NCBI	minitax
Roseburia hominis	Zymo_D6331_VS_I_V1_V9	-3.13612371848882	TRUE	NCBI	minitax
Salmonella enterica	Zymo_D6331_VS_I_V1_V9	-1.35927981676508	FALSE	NCBI	minitax
Veillonella rogosae	Zymo_D6331_VS_I_V1_V9	-1.9981506349571	FALSE	NCBI	minitax
Akkermansia muciniphila	Zymo_D6331_VS_MN_V1_V9	13.0213387106247	TRUE	NCBI	minitax
Bacteroides fragilis	Zymo_D6331_VS_MN_V1_V9	3.8052665000752	TRUE	NCBI	minitax
Bifidobacterium adolescentis	Zymo_D6331_VS_MN_V1_V9	16.1995031132559	TRUE	NCBI	minitax
Clostridioides difficile	Zymo_D6331_VS_MN_V1_V9	-0.0626473510359157	FALSE	NCBI	minitax
Clostridium perfringens	Zymo_D6331_VS_MN_V1_V9	0	FALSE	NCBI	minitax
Enterococcus faecalis	Zymo_D6331_VS_MN_V1_V9	3.0994657522137	TRUE	NCBI	minitax
Escherichia coli	Zymo_D6331_VS_MN_V1_V9	0.512676576846303	FALSE	NCBI	minitax
Faecalibacterium prausnitzii	Zymo_D6331_VS_MN_V1_V9	0.351902544420538	FALSE	NCBI	minitax
Fusobacterium nucleatum	Zymo_D6331_VS_MN_V1_V9	3.58603680126266	TRUE	NCBI	minitax
Limosilactobacillus fermentum	Zymo_D6331_VS_MN_V1_V9	5.47226324793591	TRUE	NCBI	minitax
Methanobrevibacter smithii	Zymo_D6331_VS_MN_V1_V9	9.14388988565076	TRUE	NCBI	minitax
Prevotella corporis	Zymo_D6331_VS_MN_V1_V9	2.06212089718687	TRUE	NCBI	minitax
Roseburia hominis	Zymo_D6331_VS_MN_V1_V9	2.07616038835056	TRUE	NCBI	minitax
Salmonella enterica	Zymo_D6331_VS_MN_V1_V9	-2.35428467759836	TRUE	NCBI	minitax
Veillonella rogosae	Zymo_D6331_VS_MN_V1_V9	-0.126426887166709	FALSE	NCBI	minitax
Akkermansia muciniphila	Zymo_D6331_VS_Q_V1_V9	13.5223362471976	TRUE	NCBI	minitax
Bacteroides fragilis	Zymo_D6331_VS_Q_V1_V9	4.95840141105289	TRUE	NCBI	minitax
Bifidobacterium adolescentis	Zymo_D6331_VS_Q_V1_V9	16.7005006571519	TRUE	NCBI	minitax
Clostridioides difficile	Zymo_D6331_VS_Q_V1_V9	0.417465810761399	FALSE	NCBI	minitax
Clostridium perfringens	Zymo_D6331_VS_Q_V1_V9	0	FALSE	NCBI	minitax
Enterococcus faecalis	Zymo_D6331_VS_Q_V1_V9	3.60045774328894	TRUE	NCBI	minitax
Escherichia coli	Zymo_D6331_VS_Q_V1_V9	0.986331675657892	FALSE	NCBI	minitax
Faecalibacterium prausnitzii	Zymo_D6331_VS_Q_V1_V9	0.957176797192685	FALSE	NCBI	minitax
Fusobacterium nucleatum	Zymo_D6331_VS_Q_V1_V9	3.79082716549709	TRUE	NCBI	minitax
Limosilactobacillus fermentum	Zymo_D6331_VS_Q_V1_V9	8.23880893702289	TRUE	NCBI	minitax
Methanobrevibacter smithii	Zymo_D6331_VS_Q_V1_V9	9.64488728352465	TRUE	NCBI	minitax
Prevotella corporis	Zymo_D6331_VS_Q_V1_V9	3.0224430188366	TRUE	NCBI	minitax
Roseburia hominis	Zymo_D6331_VS_Q_V1_V9	3.44881478804333	TRUE	NCBI	minitax
Salmonella enterica	Zymo_D6331_VS_Q_V1_V9	-1.8275244555083	FALSE	NCBI	minitax
Veillonella rogosae	Zymo_D6331_VS_Q_V1_V9	0.212282970292556	FALSE	NCBI	minitax
Akkermansia muciniphila	Zymo_D6331_VS_Z_V1_V9	13.112516205787	TRUE	NCBI	minitax
Bacteroides fragilis	Zymo_D6331_VS_Z_V1_V9	4.25475790952523	TRUE	NCBI	minitax
Bifidobacterium adolescentis	Zymo_D6331_VS_Z_V1_V9	16.2906806097509	TRUE	NCBI	minitax
Clostridioides difficile	Zymo_D6331_VS_Z_V1_V9	-0.29717637262259	FALSE	NCBI	minitax
Clostridium perfringens	Zymo_D6331_VS_Z_V1_V9	0	FALSE	NCBI	minitax
Enterococcus faecalis	Zymo_D6331_VS_Z_V1_V9	3.19064223814031	TRUE	NCBI	minitax
Escherichia coli	Zymo_D6331_VS_Z_V1_V9	0.766004582479758	FALSE	NCBI	minitax
Faecalibacterium prausnitzii	Zymo_D6331_VS_Z_V1_V9	0.657916757227525	FALSE	NCBI	minitax
Fusobacterium nucleatum	Zymo_D6331_VS_Z_V1_V9	3.18034752055194	TRUE	NCBI	minitax
Limosilactobacillus fermentum	Zymo_D6331_VS_Z_V1_V9	7.53121419444865	TRUE	NCBI	minitax
Methanobrevibacter smithii	Zymo_D6331_VS_Z_V1_V9	9.23506735557094	TRUE	NCBI	minitax
Prevotella corporis	Zymo_D6331_VS_Z_V1_V9	2.28484410598604	TRUE	NCBI	minitax
Roseburia hominis	Zymo_D6331_VS_Z_V1_V9	2.3335469225243	TRUE	NCBI	minitax
Salmonella enterica	Zymo_D6331_VS_Z_V1_V9	-2.03786232916211	TRUE	NCBI	minitax
Veillonella rogosae	Zymo_D6331_VS_Z_V1_V9	-0.312485449325141	FALSE	NCBI	minitax
