order	Zymo_6331_Portik_etal_2022	minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014_sourmash_kreport_NCBI
Acidaminococcales	0	1608	0
Actinomycetales	0	10	0
Aeromonadales	0	105	0
Alteromonadales	0	140	0
Bacillales	0	17	0
Bacteroidales	1459000	527419	481256
Bifidobacteriales	883000	38997	39181
Burkholderiales	0	86	0
Caulobacterales	0	39	0
Corynebacteriales	0	55	0
Desulfobacterales	0	12	0
Desulfovibrionales	0	49	0
Eggerthellales	0	1345	0
Enterobacterales	871700	320949	343331
Erysipelotrichales	0	873	0
Eubacteriales	2830010	551933	387064
Fibrobacterales	0	39	0
Flavobacteriales	0	1979	0
Fusobacteriales	753000	108728	83903
Hyphomicrobiales	0	58	0
Jiangellales	0	16	0
Lactobacillales	968110	24187	18205
Methanobacteriales	17000	1028	1187
Micrococcales	0	120	0
Micromonosporales	0	14	0
Moraxellales	0	17	0
Neisseriales	0	914	0
Petrotogales	0	16	0
Propionibacteriales	0	95	0
Pseudomonadales	0	403	0
Rhodospirillales	0	16	0
Saccharomycetales	63000	8528	9498
Selenomonadales	0	1460	0
Sphingobacteriales	0	10	0
Sphingomonadales	0	22	0
Spirochaetales	0	96	0
Streptomycetales	0	117	0
Streptosporangiales	0	10	0
Tissierellales	0	49	0
Tremellales	0	66	0
Veillonellales	1994000	318864	301578
Verrucomicrobiales	162000	38211	39181
Vibrionales	0	60	0
Xanthomonadales	0	17	0
