family	Zymo_6331_Portik_etal_2022	minitax_all_NCBI_genomes_RandAln_SRR13128014	SRR13128014_sourmash_kreport_NCBI
Acidaminococcaceae	0	1608	0
Akkermansiaceae	162000	38211	39181
Bacteroidaceae	833000	368245	370441
Bifidobacteriaceae	883000	38997	39181
Clostridiaceae	10	20700	0
Debaryomycetaceae	31000	4543	5145
Enterobacteriaceae	871700	319615	343331
Enterococcaceae	110	34	0
Eubacteriaceae	0	2616	0
Flavobacteriaceae	0	1695	0
Fusobacteriaceae	753000	108602	83903
Lachnospiraceae	1243000	120289	90236
Lactobacillaceae	968000	22925	18205
Methanobacteriaceae	17000	1028	1187
Oscillospiraceae	1477000	370491	247159
Peptostreptococcaceae	110000	37743	49669
Prevotellaceae	626000	155278	110815
Saccharomycetaceae	32000	3985	4353
Selenomonadaceae	0	1460	0
Tannerellaceae	0	2177	0
Veillonellaceae	1994000	318864	301578
